[Wafer Information]
Wafer Number,25
Wafer ID,A55-Q337387-404
Job Name,X2L3QBJL_R_08_06
Model Name,EagleT
Lot Number,24101897-011
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,02/02/2024 12:28
End Time,02/02/2024 12:31
Inspection Time,0:03:20
Photo Time,0:13:54
Data Output Time,02/02/2024 01:14

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F99 Others
25,A55-Q337387-404,3289,3136,95.34813,153,198,70,100,21,7

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,30,50,83.612916,8.649612,239.305932,1
7,27,50,43.24806,20.182428,247.955544,3
10,23,50,103.795344,8.649612,299.853216,1
16,16,50,8.649612,170.109036,498.794292,1
16,16,50,8.649612,83.612916,222.006708,1
17,18,50,14.41602,20.182428,77.846508,2
17,24,50,17.299224,20.182428,86.49612,2
19,15,50,8.649612,83.612916,230.65632,1
19,15,50,8.649612,170.109036,493.027884,1
19,15,50,8.649612,86.49612,239.305932,1
19,15,50,8.649612,80.729712,227.773116,1
19,29,50,20.182428,20.182428,98.028936,2
22,18,50,11.532816,282.553992,888.026832,63
25,38,50,69.196896,23.065632,420.947784,3
25,38,50,74.742564,25.872426,521.657318,3
30,19,50,20.182428,8.649612,57.66408,1
33,10,50,46.131264,8.649612,123.977772,1
37,19,50,14.41602,510.327108,1623.243852,63
37,14,50,49.014468,23.065632,288.3204,3
40,30,50,86.49612,8.649612,239.305932,1
44,28,50,49.014468,25.948836,360.4005,3
44,28,50,57.49428,34.496568,530.256065,3
45,35,50,98.028936,28.83204,602.589636,3
45,35,50,100.61499,34.496568,768.154732,3
46,19,50,8.649612,170.109036,490.14468,1
46,19,50,8.649612,80.729712,219.123504,1
45,19,50,8.649612,83.612916,213.357096,1
46,31,50,8.649612,170.109036,495.911088,1
46,31,50,8.649612,83.612916,236.422728,1
46,31,50,8.649612,83.612916,236.422728,1
46,4,50,43.24806,23.065632,256.605156,3
49,14,50,28.83204,328.685256,1980.761148,2
49,14,50,28.83204,328.685256,2096.089308,2
49,14,50,28.83204,325.802052,2202.767856,2
50,14,50,28.83204,328.685256,2378.6433,2
50,14,50,28.83204,328.685256,2248.89912,2
50,14,50,28.83204,325.802052,2283.497568,2
49,19,50,14.41602,14.41602,51.897672,63
50,29,50,273.90438,8.649612,795.764304,1
50,29,50,123.977772,8.649612,331.56846,1
53,26,50,28.83204,328.685256,2182.585428,2
53,26,50,31.715244,328.685256,1998.060372,2
53,26,50,28.83204,328.685256,2269.081548,2
52,26,50,28.83204,325.802052,1974.99474,2
52,26,50,28.83204,325.802052,1992.293964,2
52,26,50,28.83204,325.802052,2038.425228,2
53,17,50,8.649612,170.109036,475.72866,1
53,17,50,8.649612,86.49612,242.189136,1
53,17,50,8.649612,83.612916,210.473892,1
53,17,50,8.649612,83.612916,242.189136,1
53,31,50,40.364856,25.948836,322.918848,3
54,30,50,20.182428,20.182428,100.91214,2
61,21,50,43.24806,23.065632,282.553992,3
72,30,50,17.299224,17.299224,95.145732,2
75,15,50,20.182428,20.182428,106.678548,2
76,33,50,43.24806,34.598448,305.619624,3
76,33,50,51.744852,40.245996,438.536097,3
77,24,50,17.299224,20.182428,89.379324,2
79,38,50,8.649612,8.649612,25.948836,63
79,18,50,8.649612,83.612916,213.357096,1
81,32,50,66.313692,20.182428,380.582928,3
81,32,50,68.993136,22.997712,444.268595,3
83,35,50,14.41602,20.182428,69.196896,63
85,13,50,14.41602,20.182428,72.0801,2
85,17,50,17.299224,20.182428,92.262528,2
87,31,50,8.649612,80.729712,219.123504,1
89,30,50,43.24806,23.065632,271.021176,3
90,31,50,8.649612,8.649612,25.948836,63
93,29,50,8.649612,149.926608,412.298172,1
93,29,50,8.649612,198.941076,521.859924,1
91,33,50,46.131264,8.649612,126.860976,1
91,37,50,11.532816,239.305932,764.04906,63
93,32,50,54.780876,23.065632,377.699724,3
93,32,50,60.368994,28.74714,515.92482,3
94,31,50,8.649612,172.99224,487.261476,1
94,31,50,8.649612,86.49612,250.838748,1
94,31,50,8.649612,170.109036,507.443904,1
94,31,50,8.649612,92.262528,259.48836,1
94,31,50,8.649612,83.612916,242.189136,1
94,31,50,8.649612,98.028936,262.371564,1
93,17,50,8.649612,80.729712,210.473892,1
93,17,50,14.37357,2.874714,14.331245,1
94,17,50,8.649612,83.612916,236.422728,1
17,27,50,2.874714,40.245996,40.127486,1
