[Wafer Information]
Wafer Number,21
Wafer ID,A69-Q337387-404
Job Name,X2L3QBJL_R_08_06
Model Name,EagleT
Lot Number,24101903-003
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,02/01/2024 11:14
End Time,02/01/2024 11:17
Inspection Time,0:03:20
Photo Time,0:07:07
Data Output Time,02/01/2024 01:11

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F29 Silicon powder,F07 Incoming microlens periphery peeling
21,A69-Q337387-404,5518,5423,98.278362,95,111,52,9,8,42

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,40,50,37.481652,8.649612,106.678548,1
12,21,50,273.90438,8.649612,761.165856,1
18,55,50,14.41602,20.182428,83.612916,2
20,56,50,34.598448,8.649612,103.795344,63
25,54,50,17.299224,20.182428,89.379324,2
26,9,50,51.897672,8.649612,155.693016,1
27,40,50,11.532816,11.532816,40.364856,63
29,22,50,273.90438,8.649612,752.516244,1
31,64,50,17.299224,20.182428,103.795344,2
32,21,50,54.780876,11.532816,167.225832,1
37,52,50,8.649612,8.649612,25.948836,63
36,52,50,8.649612,8.649612,25.948836,63
37,41,50,271.021176,8.649612,720.801,1
38,7,50,8.649612,17.299224,51.897672,63
38,7,50,17.248284,2.874714,17.197494,1
37,65,50,8.649612,8.649612,25.948836,63
40,3,50,14.41602,20.182428,72.0801,2
40,20,50,273.90438,8.649612,801.530712,1
40,20,50,224.889912,8.649612,660.253716,1
45,60,50,14.41602,20.182428,80.729712,2
45,67,50,271.021176,8.649612,787.114692,1
47,52,50,23.065632,14.41602,92.262528,63
51,19,50,8.649612,11.532816,34.598448,63
57,20,50,8.649612,126.860976,357.517296,1
59,42,50,268.137972,8.649612,781.348284,1
59,42,50,268.137972,8.649612,709.268184,1
62,21,50,46.131264,25.948836,276.787584,3
61,20,50,57.66408,8.649612,158.57622,1
66,65,50,54.780876,8.649612,149.926608,1
66,45,50,14.41602,20.182428,74.963304,2
67,65,50,112.444956,8.649612,305.619624,1
68,65,50,271.021176,8.649612,740.983428,1
71,19,50,271.021176,8.649612,781.348284,1
74,35,50,17.299224,25.948836,103.795344,2
80,42,50,273.90438,8.649612,813.063528,1
80,42,50,271.021176,8.649612,813.063528,1
80,42,50,271.021176,8.649612,732.333816,1
79,41,50,273.90438,8.649612,807.29712,1
79,41,50,273.90438,8.649612,769.815468,1
80,41,50,273.90438,8.649612,795.764304,1
80,41,50,271.021176,8.649612,766.932264,1
82,20,50,273.90438,8.649612,746.749836,1
82,20,50,268.137972,8.649612,706.38498,1
82,20,50,123.977772,8.649612,334.451664,1
83,20,50,181.641852,8.649612,542.042352,1
85,10,50,11.532816,8.649612,34.598448,1
89,47,50,17.299224,20.182428,83.612916,2
93,19,50,273.90438,8.649612,772.698672,1
93,19,50,77.846508,8.649612,198.941076,1
94,22,50,273.90438,8.649612,743.866632,1
96,20,50,17.299224,20.182428,86.49612,2
100,41,50,273.90438,8.649612,775.581876,1
101,41,50,273.90438,8.649612,726.567408,1
101,41,50,271.021176,8.649612,775.581876,1
101,41,50,271.021176,8.649612,743.866632,1
101,41,50,170.109036,8.649612,464.195844,1
101,41,50,271.021176,8.649612,743.866632,1
