[Wafer Information]
Wafer Number,7
Wafer ID,A76-Q337387-404
Job Name,X2L3QBJL_R_08_06
Model Name,EagleT
Lot Number,24101903-003
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,02/01/2024 12:53
End Time,02/01/2024 12:56
Inspection Time,0:03:21
Photo Time,0:08:02
Data Output Time,02/01/2024 01:31

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F07 Incoming microlens periphery peeling,F29 Silicon powder
7,A76-Q337387-404,5518,5435,98.495832,83,96,34,9,1,51,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
3,31,50,271.021176,8.649612,729.450612,1
3,31,50,271.021176,8.649612,729.450612,1
9,43,50,80.729712,8.649612,222.006708,1
17,30,50,273.90438,8.649612,798.647508,1
20,52,50,268.137972,8.649612,706.38498,1
18,30,50,273.90438,8.649612,735.21702,1
21,56,50,17.299224,23.065632,95.145732,2
25,31,50,57.66408,8.649612,149.926608,1
26,5,50,262.371564,8.649612,781.348284,1
29,10,50,14.41602,20.182428,77.846508,2
31,7,50,271.021176,8.649612,772.698672,1
32,7,50,273.90438,8.649612,818.829936,1
32,7,50,271.021176,8.649612,712.151388,1
34,45,50,28.83204,325.802052,1940.396292,2
37,24,50,8.649612,8.649612,25.948836,63
39,30,50,271.021176,8.649612,810.180324,1
39,30,50,268.137972,8.649612,766.932264,1
39,30,50,123.977772,8.649612,351.750888,1
40,30,50,271.021176,8.649612,787.114692,1
40,30,50,271.021176,8.649612,792.8811,1
40,30,50,271.021176,8.649612,784.231488,1
40,30,50,210.473892,8.649612,619.88886,1
40,52,50,28.83204,322.918848,1992.293964,2
40,53,50,271.021176,8.649612,789.997896,1
40,53,50,201.82428,8.649612,550.691964,1
45,31,50,271.021176,8.649612,740.983428,1
45,31,50,34.598448,8.649612,86.49612,1
48,10,50,28.83204,325.802052,1951.929108,2
48,10,50,28.83204,325.802052,2075.90688,2
48,10,50,28.83204,322.918848,2098.972512,2
49,30,50,40.364856,25.948836,273.90438,3
52,7,50,268.137972,8.649612,700.618572,1
52,38,50,28.83204,325.802052,2070.140472,2
53,38,50,28.83204,325.802052,2032.65882,2
58,28,50,49.014468,23.065632,317.15244,3
58,28,50,51.744852,25.872426,381.211117,3
60,30,50,129.74418,8.649612,389.23254,1
62,53,50,271.021176,8.649612,738.100224,1
63,53,50,271.021176,8.649612,749.63304,1
68,31,50,273.90438,8.649612,723.684204,1
74,7,50,268.137972,8.649612,720.801,1
74,7,50,147.043404,8.649612,435.363804,1
76,22,50,66.313692,8.649612,167.225832,1
81,34,50,40.364856,25.948836,239.305932,3
83,53,50,129.74418,8.649612,386.349336,1
87,38,50,43.24806,23.065632,239.305932,3
94,43,50,80.729712,8.649612,204.707484,1
12,42,50,2.874714,11.498856,11.464996,1
34,42,50,2.874714,8.624142,8.598747,1
18,56,50,83.366706,17.248284,461.466089,3
23,56,50,57.49428,17.248284,280.892402,3
24,56,50,112.113846,22.997712,596.179792,3
26,56,50,91.990848,17.248284,515.92482,3
32,10,50,100.61499,14.37357,470.064836,3
33,54,50,63.243708,17.248284,369.746121,3
37,13,50,57.49428,17.248284,321.019888,3
39,59,50,51.744852,20.122998,318.153639,3
38,54,50,71.86785,28.74714,507.326073,3
39,13,50,54.619566,17.248284,306.688643,3
41,54,50,63.243708,28.74714,452.867342,3
45,4,50,51.744852,20.122998,272.293655,3
49,34,50,63.243708,17.248284,332.484884,3
50,54,50,57.49428,20.122998,364.013623,3
50,30,50,54.619566,17.248284,312.421141,3
50,15,50,57.49428,17.248284,321.019888,3
54,30,50,54.619566,17.248284,266.561157,3
55,30,50,112.113846,17.248284,533.122314,3
58,30,50,83.366706,20.122998,490.128579,3
58,15,50,109.239132,20.122998,613.377286,3
57,15,50,109.239132,34.496568,739.492242,3
60,34,50,66.118422,17.248284,329.618635,3
60,28,50,71.86785,20.122998,343.94988,3
59,34,50,63.243708,17.248284,366.879872,3
64,52,50,54.619566,17.248284,303.822394,3
67,26,50,77.617278,17.248284,458.59984,3
68,22,50,57.49428,17.248284,295.223647,3
70,26,50,71.86785,17.248284,415.606105,3
71,32,50,51.744852,14.37357,223.567422,3
72,32,50,57.49428,17.248284,206.369928,3
74,62,50,74.742564,17.248284,358.281125,3
77,62,50,97.740276,17.248284,438.536097,3
78,62,50,66.118422,17.248284,349.682378,3
78,36,50,71.86785,20.122998,392.676113,3
81,17,50,57.49428,17.248284,318.153639,3
80,34,50,68.993136,20.122998,404.141109,3
86,22,50,80.491992,17.248284,475.797334,3
85,8,50,60.368994,17.248284,341.083631,3
84,7,50,109.239132,20.122998,607.644788,3
86,50,50,60.368994,22.997712,409.873607,3
89,45,50,71.86785,17.248284,412.739856,3
90,45,50,57.49428,20.122998,335.351133,3
89,46,50,114.98856,17.248284,659.23727,3
97,38,50,106.364418,14.37357,515.92482,3
97,45,50,54.619566,14.37357,237.898667,3
