[Wafer Information]
Wafer Number,5
Wafer ID,A77-Q337387-404
Job Name,X2L3QBJL_R_08_06
Model Name,EagleT
Lot Number,24101903-003
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,02/01/2024 01:09
End Time,02/01/2024 01:12
Inspection Time,0:03:21
Photo Time,0:06:43
Data Output Time,02/01/2024 02:52

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others
5,A77-Q337387-404,4227,4159,98.391294,68,83,35,29,8,11

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
7,47,50,8.649612,170.109036,444.013416,1
14,16,50,271.021176,8.649612,712.151388,1
20,28,50,46.131264,28.83204,320.035644,3
20,18,50,80.729712,8.649612,227.773116,1
20,18,50,123.977772,8.649612,328.685256,1
21,47,50,17.299224,20.182428,103.795344,2
22,28,50,51.897672,31.715244,345.98448,3
22,28,50,57.49428,34.496568,470.064836,3
23,9,50,14.41602,418.06458,1366.638696,63
27,48,50,20.182428,11.532816,66.313692,63
29,47,50,8.649612,172.99224,467.079048,1
30,48,50,11.532816,259.48836,824.596344,63
30,48,50,8.649612,83.612916,239.305932,1
30,47,50,8.649612,144.1602,409.414968,1
31,48,50,8.649612,83.612916,236.422728,1
31,21,50,8.649612,141.276996,383.466132,1
32,45,50,8.649612,8.649612,25.948836,63
32,48,50,8.649612,83.612916,239.305932,1
32,48,50,8.649612,170.109036,481.495068,1
37,33,50,268.137972,8.649612,752.516244,1
40,16,50,271.021176,8.649612,801.530712,1
40,16,50,271.021176,8.649612,778.46508,1
40,16,50,178.758648,8.649612,527.626332,1
40,16,50,273.90438,8.649612,769.815468,1
43,24,50,28.83204,325.802052,2024.009208,2
43,24,50,25.948836,325.802052,1986.527556,2
46,41,50,63.430488,8.649612,181.641852,1
46,41,50,80.729712,8.649612,216.2403,1
48,48,50,20.182428,262.371564,827.479548,63
53,46,50,28.83204,325.802052,1799.119296,2
54,40,50,83.612916,8.649612,224.889912,1
53,0,50,14.41602,20.182428,74.963304,2
58,41,50,8.649612,14.41602,43.24806,63
57,33,50,20.182428,20.182428,89.379324,2
56,43,50,8.649612,8.649612,25.948836,63
63,14,50,14.41602,20.182428,74.963304,2
66,45,50,34.598448,8.649612,98.028936,1
66,16,50,54.780876,8.649612,158.57622,1
65,6,50,11.532816,8.649612,28.83204,1
66,30,50,11.532816,418.06458,1329.157044,63
77,5,50,80.729712,8.649612,227.773116,1
80,47,50,8.649612,8.649612,25.948836,63
83,48,50,20.182428,328.685256,1121.566356,63
83,48,50,31.715244,565.107984,1891.381824,63
82,47,50,8.649612,83.612916,213.357096,1
82,33,50,271.021176,8.649612,795.764304,1
82,33,50,273.90438,8.649612,775.581876,1
83,33,50,57.66408,8.649612,152.809812,1
88,16,50,271.021176,8.649612,723.684204,1
96,27,50,17.299224,20.182428,95.145732,2
102,33,50,271.021176,8.649612,738.100224,1
102,33,50,271.021176,8.649612,715.034592,1
76,36,50,5.749428,2.874714,5.732498,1
76,36,50,5.749428,2.874714,5.732498,1
76,36,50,17.248284,2.874714,17.197494,1
76,36,50,5.749428,2.874714,5.732498,1
81,28,50,2.874714,14.37357,14.331245,1
6,22,50,66.118422,20.122998,392.676113,3
8,28,50,66.118422,20.122998,407.007358,3
9,22,50,60.368994,20.122998,335.351133,3
11,28,50,54.619566,20.122998,343.94988,3
12,36,50,51.744852,17.248284,280.892402,3
16,22,50,89.116134,20.122998,518.791069,3
18,28,50,63.243708,17.248284,318.153639,3
21,28,50,51.744852,17.248284,275.159904,3
25,28,50,83.366706,34.496568,541.721061,3
28,9,50,83.366706,22.997712,470.064836,3
32,9,50,80.491992,17.248284,407.007358,3
34,19,50,51.744852,20.122998,266.561157,3
46,6,50,57.49428,14.37357,278.026153,3
49,6,50,97.740276,14.37357,458.59984,3
51,6,50,66.118422,17.248284,364.013623,3
56,34,50,68.993136,20.122998,418.472354,3
59,6,50,54.619566,20.122998,321.019888,3
65,24,50,66.118422,20.122998,375.478619,3
82,45,50,51.744852,14.37357,235.032418,3
82,19,50,112.113846,17.248284,621.976033,3
86,38,50,54.619566,17.248284,300.956145,3
91,25,50,91.990848,17.248284,450.001093,3
90,48,50,51.744852,14.37357,206.369928,3
98,37,50,51.744852,20.122998,289.491149,3
99,25,50,51.744852,17.248284,269.427406,3
100,45,50,51.744852,20.122998,289.491149,3

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others
5,A77-Q337387-404,4227,4194,99.219304,33,34,29,5

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
7,47,Pass,8.649612,170.109036,444.013416,1
14,16,Pass,271.021176,8.649612,712.151388,1
20,28,50,46.131264,28.83204,320.035644,3
20,18,Pass,80.729712,8.649612,227.773116,1
20,18,Pass,123.977772,8.649612,328.685256,1
21,47,50,17.299224,20.182428,103.795344,2
22,28,50,51.897672,31.715244,345.98448,3
22,28,50,57.49428,34.496568,470.064836,3
23,9,Pass,14.41602,418.06458,1366.638696,63
27,48,Pass,20.182428,11.532816,66.313692,63
29,47,Pass,8.649612,172.99224,467.079048,1
30,48,Pass,11.532816,259.48836,824.596344,63
30,48,Pass,8.649612,83.612916,239.305932,1
30,47,Pass,8.649612,144.1602,409.414968,1
31,48,Pass,8.649612,83.612916,236.422728,1
31,21,Pass,8.649612,141.276996,383.466132,1
32,45,Pass,8.649612,8.649612,25.948836,63
32,48,Pass,8.649612,83.612916,239.305932,1
32,48,Pass,8.649612,170.109036,481.495068,1
37,33,Pass,268.137972,8.649612,752.516244,1
40,16,Pass,271.021176,8.649612,801.530712,1
40,16,Pass,271.021176,8.649612,778.46508,1
40,16,Pass,178.758648,8.649612,527.626332,1
40,16,Pass,273.90438,8.649612,769.815468,1
43,24,Pass,28.83204,325.802052,2024.009208,2
43,24,Pass,25.948836,325.802052,1986.527556,2
46,41,Pass,63.430488,8.649612,181.641852,1
46,41,Pass,80.729712,8.649612,216.2403,1
48,48,Pass,20.182428,262.371564,827.479548,63
53,46,Pass,28.83204,325.802052,1799.119296,2
54,40,Pass,83.612916,8.649612,224.889912,1
53,0,50,14.41602,20.182428,74.963304,2
58,41,Pass,8.649612,14.41602,43.24806,63
57,33,50,20.182428,20.182428,89.379324,2
56,43,Pass,8.649612,8.649612,25.948836,63
63,14,50,14.41602,20.182428,74.963304,2
66,45,Pass,34.598448,8.649612,98.028936,1
66,16,Pass,54.780876,8.649612,158.57622,1
65,6,Pass,11.532816,8.649612,28.83204,1
66,30,Pass,11.532816,418.06458,1329.157044,63
77,5,Pass,80.729712,8.649612,227.773116,1
80,47,Pass,8.649612,8.649612,25.948836,63
83,48,Pass,20.182428,328.685256,1121.566356,63
83,48,Pass,31.715244,565.107984,1891.381824,63
82,47,Pass,8.649612,83.612916,213.357096,1
82,33,Pass,271.021176,8.649612,795.764304,1
82,33,Pass,273.90438,8.649612,775.581876,1
83,33,Pass,57.66408,8.649612,152.809812,1
88,16,Pass,271.021176,8.649612,723.684204,1
96,27,50,17.299224,20.182428,95.145732,2
102,33,Pass,271.021176,8.649612,738.100224,1
102,33,Pass,271.021176,8.649612,715.034592,1
76,36,Pass,5.749428,2.874714,5.732498,1
76,36,Pass,5.749428,2.874714,5.732498,1
76,36,Pass,17.248284,2.874714,17.197494,1
76,36,Pass,5.749428,2.874714,5.732498,1
