[Wafer Information]
Wafer Number,11
Wafer ID,Q337656-02E0
Job Name,X2L3QBJL_S_12_P5
Model Name,EagleT
Lot Number,24101911-001
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/28/2024 11:36
End Time,01/28/2024 11:42
Inspection Time,0:06:45
Photo Time,0:11:19
Data Output Time,01/29/2024 01:31

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F13 Pad area damage
11,Q337656-02E0,19919,19732,99.061198,187,213,212,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
8,44,50,49.014468,31.715244,394.998948,3
6,53,50,80.729712,11.532816,265.254768,1
6,53,50,80.729712,8.649612,227.773116,1
6,64,50,77.846508,8.649612,230.65632,1
9,76,50,63.430488,8.649612,172.99224,1
10,42,50,43.24806,28.83204,325.802052,3
19,42,50,37.481652,46.131264,380.582928,3
19,42,50,40.269768,54.651828,530.88266,3
26,99,50,11.532816,83.612916,256.605156,1
24,80,50,8.649612,46.131264,115.32816,1
24,81,50,8.649612,149.926608,406.531764,1
24,58,50,8.649612,51.897672,132.627384,1
24,70,50,8.649612,149.926608,409.414968,1
24,48,50,8.649612,149.926608,426.714192,1
24,37,50,8.649612,152.809812,435.363804,1
26,44,50,8.649612,83.612916,222.006708,1
28,97,50,80.729712,8.649612,233.539524,1
28,97,50,77.846508,8.649612,210.473892,1
28,97,50,80.729712,8.649612,233.539524,1
29,92,50,268.137972,8.649612,726.567408,1
31,54,50,23.065632,8.649612,63.430488,1
34,54,50,51.897672,43.24806,542.042352,3
34,54,50,57.52824,51.775416,746.10536,3
36,23,50,54.780876,23.065632,317.15244,3
46,36,50,8.649612,46.131264,118.211364,1
46,15,50,8.649612,149.926608,444.013416,1
46,59,50,8.649612,149.926608,432.4806,1
46,26,50,8.649612,149.926608,406.531764,1
46,69,50,8.649612,46.131264,123.977772,1
46,48,50,8.649612,149.926608,386.349336,1
48,99,50,8.649612,83.612916,227.773116,1
48,66,50,8.649612,83.612916,239.305932,1
48,33,50,8.649612,86.49612,242.189136,1
50,14,50,60.547284,37.481652,472.845456,3
50,37,50,25.948836,11.532816,72.0801,1
50,20,50,77.846508,8.649612,198.941076,1
52,87,50,54.780876,8.649612,155.693016,1
62,14,50,49.014468,25.948836,348.867684,3
68,14,50,8.649612,49.014468,132.627384,1
68,15,50,8.649612,149.926608,420.947784,1
68,36,50,8.649612,49.014468,121.094568,1
68,47,50,8.649612,49.014468,121.094568,1
70,44,50,8.649612,86.49612,242.189136,1
70,33,50,8.649612,20.182428,54.780876,1
70,33,50,8.649612,80.729712,216.2403,1
70,11,50,8.649612,80.729712,227.773116,1
74,103,50,51.897672,11.532816,170.109036,1
72,75,50,77.846508,8.649612,213.357096,1
82,32,50,8.649612,57.66408,147.043404,1
82,32,50,28.76412,69.033888,450.532852,1
83,10,50,51.897672,40.364856,469.962252,3
84,29,50,34.598448,46.131264,242.189136,1
84,29,50,28.76412,66.157476,416.09722,1
