[Wafer Information]
Wafer Number,11
Wafer ID,Q337656-18C5
Job Name,X2L3QBJL_S_12_05
Model Name,EagleT
Lot Number,24101923.26.29
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/29/2024 04:47
End Time,01/29/2024 04:54
Inspection Time,0:06:43
Photo Time,0:15:46
Data Output Time,01/29/2024 05:30

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F33 Black Foreign material,F13 Pad area damage,F03 Incoming streaks in u-lens,F16 Die scratch
11,Q337656-18C5,19774,19482,98.523313,292,430,414,16

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
7,65,50,74.963304,23.065632,490.14468,3
8,65,50,60.547284,20.182428,351.750888,3
15,60,50,57.66408,25.948836,429.597396,3
24,47,50,8.649612,46.131264,123.977772,1
24,47,50,8.629236,11.505648,22.957088,1
24,48,50,8.649612,149.926608,438.247008,1
25,62,50,20.182428,17.299224,92.262528,2
24,59,50,8.649612,149.926608,406.531764,1
26,44,50,8.649612,83.612916,227.773116,1
26,88,50,8.649612,80.729712,219.123504,1
28,53,50,80.729712,8.649612,233.539524,1
28,53,50,80.729712,8.649612,239.305932,1
30,92,50,11.532816,5.766408,23.065632,1
31,76,50,25.948836,8.649612,74.963304,1
31,76,50,80.729712,8.649612,216.2403,1
33,32,50,63.430488,25.948836,397.882152,3
37,91,50,23.065632,14.41602,109.561752,2
36,18,50,28.83204,31.715244,250.838748,2
38,57,50,40.364856,25.948836,279.670788,3
40,37,50,57.66408,31.715244,377.699724,3
42,101,50,92.262528,43.24806,821.71314,3
46,69,50,8.649612,49.014468,132.627384,1
46,59,50,8.649612,149.926608,446.89662,1
46,36,50,8.649612,49.014468,129.74418,1
46,36,50,5.752824,14.38206,25.826724,1
46,36,50,8.629236,8.629236,20.087452,1
46,15,50,8.649612,149.926608,438.247008,1
46,25,50,8.649612,46.131264,121.094568,1
47,89,50,23.065632,14.41602,86.49612,2
48,66,50,8.649612,83.612916,236.422728,1
48,18,50,46.131264,28.83204,363.283704,3
50,20,50,66.313692,8.649612,198.941076,1
50,20,50,80.729712,8.649612,227.773116,1
54,63,50,14.41602,311.386032,1381.054716,2
54,63,50,14.41602,311.386032,1450.251612,2
52,76,50,57.66408,8.649612,161.459424,1
55,58,50,20.182428,20.182428,95.145732,2
64,30,50,43.24806,28.83204,320.035644,3
65,65,50,386.349336,360.4005,14323.757472,2
65,65,50,14.41602,311.386032,1418.536368,2
65,65,50,17.299224,311.386032,1285.908984,2
65,65,50,14.41602,308.502828,1522.331712,2
66,65,50,14.41602,311.386032,1427.18598,2
66,65,50,14.41602,311.386032,1507.915692,2
64,65,50,17.299224,308.502828,1205.179272,2
64,64,50,386.349336,400.765356,40261.060656,2
64,64,50,386.349336,403.64856,12579.419052,2
64,64,50,14.41602,311.386032,1528.09812,2
64,64,50,14.41602,311.386032,1493.499672,2
64,64,50,17.299224,311.386032,1421.419572,2
65,64,50,386.349336,403.64856,42671.4192,2
65,64,50,386.349336,409.414968,17959.477716,2
65,64,50,17.299224,314.269236,1528.09812,2
65,64,50,20.182428,317.15244,1554.046956,2
65,64,50,17.299224,317.15244,1588.645404,2
66,64,50,23.065632,317.15244,1603.061424,2
66,64,50,14.41602,311.386032,1542.51414,2
68,102,50,8.649612,46.131264,118.211364,1
68,80,50,8.649612,46.131264,121.094568,1
68,26,50,8.649612,152.809812,441.130212,1
68,14,50,8.649612,49.014468,129.74418,1
