[Wafer Information]
Wafer Number,13
Wafer ID,Q337656-21C0
Job Name,X2L3QBJL_S_12_05
Model Name,EagleT
Lot Number,24101929-003
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/29/2024 07:04
End Time,01/29/2024 07:11
Inspection Time,0:06:49
Photo Time,0:41:24
Data Output Time,01/31/2024 01:17

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F13 Pad area damage
13,Q337656-21C0,19894,19368,97.355987,526,1430,1430

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
7,55,50,43.24806,25.948836,296.970012,3
7,60,50,57.66408,46.131264,648.7209,3
7,60,50,63.281064,57.52824,929.762064,3
7,60,50,5.752824,8.629236,14.34818,1
8,54,50,164.342628,11.532816,530.509536,1
8,54,50,77.846508,11.532816,265.254768,1
11,41,50,17.299224,20.182428,74.963304,2
11,42,50,20.182428,31.715244,147.043404,2
13,86,50,14.41602,23.065632,89.379324,2
13,82,50,23.065632,25.948836,152.809812,2
16,63,50,11.532816,20.182428,66.313692,2
17,88,50,25.948836,28.83204,210.473892,2
18,58,50,20.182428,25.948836,129.74418,2
18,72,50,28.83204,28.83204,204.707484,2
18,38,50,17.299224,17.299224,83.612916,2
21,88,50,77.846508,43.24806,789.997896,2
22,35,50,400.765356,426.714192,44937.617544,2
22,35,50,400.765356,403.64856,51274.899936,2
22,35,50,345.98448,20.182428,2101.855716,2
22,35,50,400.765356,227.773116,29607.621876,2
23,37,50,8.649612,149.926608,441.130212,1
22,46,50,400.765356,423.830988,45269.186004,2
22,46,50,400.765356,426.714192,52877.96136,2
22,46,50,397.882152,262.371564,32805.095112,2
23,47,50,8.649612,51.897672,129.74418,1
22,79,50,400.765356,420.947784,44320.611888,2
22,79,50,400.765356,409.414968,50283.07776,2
22,79,50,343.101276,17.299224,2000.943576,2
22,68,50,397.882152,423.830988,44323.495092,2
22,68,50,397.882152,409.414968,49879.4292,2
22,68,50,369.050112,37.481652,3546.34092,2
22,57,50,400.765356,426.714192,45439.29504,2
22,57,50,400.765356,426.714192,53013.471948,2
22,57,50,343.101276,20.182428,2026.892412,2
22,86,50,23.065632,25.948836,135.510588,2
22,90,50,400.765356,426.714192,42481.127736,2
22,90,50,397.882152,409.414968,49190.343444,2
