[Wafer Information]
Wafer Number,9
Wafer ID,A53Q337727404
Job Name,X2L3QBJL_R_08_06
Model Name,EagleT
Lot Number,24101951-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,02/05/2024 12:08
End Time,02/05/2024 12:11
Inspection Time,0:03:21
Photo Time,0:02:56
Data Output Time,02/05/2024 01:38

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder
9,A53Q337727404,5518,5490,99.49257,28,32,8,10,10,4

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,40,50,273.90438,8.649612,784.231488,1
6,40,50,268.137972,8.649612,749.63304,1
6,40,50,207.590688,8.649612,596.823228,1
10,16,50,51.897672,23.065632,302.73642,3
17,48,50,14.41602,20.182428,83.612916,2
19,19,50,271.021176,8.649612,712.151388,1
19,19,50,271.021176,8.649612,764.04906,1
23,50,50,49.014468,20.182428,262.371564,3
25,41,50,20.182428,23.065632,118.211364,2
27,22,50,43.24806,23.065632,299.853216,3
29,40,50,54.780876,8.649612,144.1602,1
27,11,50,74.963304,25.948836,475.72866,3
30,20,50,11.532816,17.299224,57.66408,63
40,53,50,60.547284,20.182428,371.933316,3
40,18,50,57.66408,20.182428,331.56846,3
43,57,50,20.182428,25.948836,129.74418,2
48,61,50,23.065632,11.532816,83.612916,63
57,16,50,72.0801,23.065632,455.546232,3
60,11,50,57.66408,25.948836,371.933316,3
63,19,50,54.780876,8.649612,138.393792,1
62,30,50,8.649612,11.532816,34.598448,63
64,34,50,8.649612,23.065632,69.196896,63
66,6,50,69.196896,25.948836,469.962252,3
67,60,50,28.83204,325.802052,1983.644352,2
69,51,50,17.299224,20.182428,83.612916,2
71,20,50,273.90438,8.649612,761.165856,1
76,36,50,14.41602,20.182428,86.49612,2
99,39,50,23.065632,325.802052,1894.265028,2
99,39,50,28.83204,325.802052,1943.279496,2
99,39,50,28.83204,325.802052,2147.98698,2
100,35,50,20.182428,14.41602,69.196896,2
10,23,50,37.371282,48.870138,444.268595,3

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder
9,A53Q337727404,5518,5508,99.818775,10,10,10

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,40,Pass,273.90438,8.649612,784.231488,1
6,40,Pass,268.137972,8.649612,749.63304,1
6,40,Pass,207.590688,8.649612,596.823228,1
10,16,50,51.897672,23.065632,302.73642,3
17,48,Pass,14.41602,20.182428,83.612916,2
19,19,Pass,271.021176,8.649612,712.151388,1
19,19,Pass,271.021176,8.649612,764.04906,1
23,50,50,49.014468,20.182428,262.371564,3
25,41,Pass,20.182428,23.065632,118.211364,2
27,22,50,43.24806,23.065632,299.853216,3
29,40,Pass,54.780876,8.649612,144.1602,1
27,11,50,74.963304,25.948836,475.72866,3
30,20,Pass,11.532816,17.299224,57.66408,63
40,53,50,60.547284,20.182428,371.933316,3
40,18,50,57.66408,20.182428,331.56846,3
43,57,Pass,20.182428,25.948836,129.74418,2
48,61,Pass,23.065632,11.532816,83.612916,63
57,16,50,72.0801,23.065632,455.546232,3
60,11,50,57.66408,25.948836,371.933316,3
63,19,Pass,54.780876,8.649612,138.393792,1
62,30,Pass,8.649612,11.532816,34.598448,63
64,34,Pass,8.649612,23.065632,69.196896,63
66,6,50,69.196896,25.948836,469.962252,3
67,60,Pass,28.83204,325.802052,1983.644352,2
69,51,Pass,17.299224,20.182428,83.612916,2
71,20,Pass,273.90438,8.649612,761.165856,1
76,36,Pass,14.41602,20.182428,86.49612,2
99,39,Pass,23.065632,325.802052,1894.265028,2
99,39,Pass,28.83204,325.802052,1943.279496,2
99,39,Pass,28.83204,325.802052,2147.98698,2
100,35,Pass,20.182428,14.41602,69.196896,2
10,23,50,37.371282,48.870138,444.268595,3

