[Wafer Information]
Wafer Number,5
Wafer ID,A55-Q337727-404
Job Name,X2L3QBJL_R_08_06
Model Name,EagleT
Lot Number,24101951-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,02/04/2024 11:59
End Time,02/05/2024 12:02
Inspection Time,0:03:20
Photo Time,0:03:57
Data Output Time,02/05/2024 01:39

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F99 Others
5,A55-Q337727-404,4141,4119,99.468727,22,30,13,2,11,1,3

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
9,44,50,227.773116,8.649612,680.436144,1
8,26,50,8.649612,8.649612,25.948836,63
12,31,50,60.547284,46.131264,631.421676,3
12,31,50,54.619566,31.621854,432.803599,3
23,32,50,57.66408,8.649612,147.043404,1
29,15,50,271.021176,8.649612,749.63304,1
29,15,50,213.357096,8.649612,628.538472,1
43,39,50,63.430488,28.83204,484.378272,3
43,39,50,51.744852,14.37357,169.108691,3
48,39,50,34.598448,40.364856,366.166908,3
46,7,50,28.83204,11.532816,109.561752,1
46,7,50,22.997712,22.997712,97.452466,1
46,7,50,37.371282,14.37357,177.707438,1
46,7,50,54.619566,166.733412,1175.16209,3
53,44,50,268.137972,8.649612,775.581876,1
53,15,50,271.021176,8.649612,775.581876,1
55,45,50,43.24806,25.948836,311.386032,3
56,11,50,14.41602,20.182428,66.313692,2
60,24,50,20.182428,17.299224,95.145732,2
61,47,50,8.649612,83.612916,222.006708,1
66,17,50,14.41602,20.182428,77.846508,2
75,29,50,11.532816,28.83204,89.379324,63
94,16,50,271.021176,8.649612,749.63304,1
94,16,50,273.90438,8.649612,798.647508,1
94,16,50,271.021176,8.649612,807.29712,1
100,24,50,40.364856,25.948836,276.787584,3
84,29,50,8.624142,2.874714,8.598747,1
21,47,50,66.118422,14.37357,243.631165,3
38,44,50,54.619566,37.371282,415.606105,3
66,35,50,48.870138,54.619566,541.721061,3

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F99 Others
5,A55-Q337727-404,4141,4132,99.782661,9,14,10,3,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
9,44,Pass,227.773116,8.649612,680.436144,1
8,26,Pass,8.649612,8.649612,25.948836,63
12,31,50,60.547284,46.131264,631.421676,3
12,31,50,54.619566,31.621854,432.803599,3
23,32,Pass,57.66408,8.649612,147.043404,1
29,15,Pass,271.021176,8.649612,749.63304,1
29,15,Pass,213.357096,8.649612,628.538472,1
43,39,50,63.430488,28.83204,484.378272,3
43,39,50,51.744852,14.37357,169.108691,3
48,39,50,34.598448,40.364856,366.166908,3
46,7,50,28.83204,11.532816,109.561752,1
46,7,50,22.997712,22.997712,97.452466,1
46,7,50,37.371282,14.37357,177.707438,1
46,7,50,54.619566,166.733412,1175.16209,3
53,44,Pass,268.137972,8.649612,775.581876,1
53,15,Pass,271.021176,8.649612,775.581876,1
55,45,50,43.24806,25.948836,311.386032,3
56,11,Pass,14.41602,20.182428,66.313692,2
60,24,Pass,20.182428,17.299224,95.145732,2
61,47,Pass,8.649612,83.612916,222.006708,1
66,17,Pass,14.41602,20.182428,77.846508,2
75,29,Pass,11.532816,28.83204,89.379324,63
94,16,Pass,271.021176,8.649612,749.63304,1
94,16,Pass,273.90438,8.649612,798.647508,1
94,16,Pass,271.021176,8.649612,807.29712,1
100,24,50,40.364856,25.948836,276.787584,3
84,29,Pass,8.624142,2.874714,8.598747,1
21,47,50,66.118422,14.37357,243.631165,3
38,44,50,54.619566,37.371282,415.606105,3
66,35,50,48.870138,54.619566,541.721061,3

