[Wafer Information]
Wafer Number,23
Wafer ID,A68-Q337727-404
Job Name,X2L3QBJL_R_08_06
Model Name,EagleT
Lot Number,24101957-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,02/05/2024 07:08
End Time,02/05/2024 07:11
Inspection Time,0:03:21
Photo Time,0:02:14
Data Output Time,02/05/2024 09:44

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others
23,A68-Q337727-404,5518,5480,99.311345,38,48,31,11,5,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
12,55,50,273.90438,8.649612,815.946732,1
12,55,50,236.422728,8.649612,703.501776,1
12,15,50,8.649612,245.07234,715.034592,1
12,14,50,49.014468,23.065632,320.035644,3
15,32,50,54.780876,8.649612,141.276996,1
21,15,50,106.678548,23.065632,628.538472,3
25,19,50,54.780876,20.182428,305.619624,3
29,33,50,54.780876,8.649612,149.926608,1
30,47,50,14.41602,20.182428,77.846508,2
32,54,50,141.276996,8.649612,412.298172,1
33,55,50,268.137972,8.649612,746.749836,1
35,7,50,20.182428,20.182428,112.444956,2
37,43,50,66.313692,23.065632,392.115744,3
40,56,50,57.66408,8.649612,149.926608,1
45,19,50,60.547284,20.182428,366.166908,3
56,52,50,51.897672,31.715244,392.115744,3
54,10,50,11.532816,8.649612,31.715244,1
57,12,50,138.393792,8.649612,403.64856,1
59,45,50,8.649612,11.532816,34.598448,63
63,56,50,271.021176,8.649612,813.063528,1
63,56,50,271.021176,8.649612,813.063528,1
63,31,50,271.021176,8.649612,804.413916,1
63,31,50,271.021176,8.649612,807.29712,1
64,29,50,57.66408,23.065632,415.181376,3
65,23,50,80.729712,8.649612,219.123504,1
66,35,50,46.131264,25.948836,291.203604,3
72,35,50,54.780876,34.598448,435.363804,3
72,27,50,63.430488,25.948836,400.765356,3
77,44,50,83.612916,8.649612,222.006708,1
77,23,50,17.299224,20.182428,100.91214,2
77,23,50,20.182428,23.065632,92.262528,2
78,39,50,43.24806,25.948836,320.035644,3
80,32,50,54.780876,8.649612,158.57622,1
79,32,50,271.021176,8.649612,709.268184,1
80,8,50,273.90438,8.649612,815.946732,1
80,8,50,273.90438,8.649612,815.946732,1
80,8,50,66.313692,8.649612,196.057872,1
83,9,50,54.780876,8.649612,164.342628,1
82,7,50,17.299224,20.182428,89.379324,2
82,9,50,271.021176,8.649612,746.749836,1
82,9,50,271.021176,8.649612,769.815468,1
82,9,50,271.021176,8.649612,720.801,1
85,31,50,271.021176,8.649612,738.100224,1
85,31,50,268.137972,8.649612,755.399448,1
85,31,50,271.021176,8.649612,717.917796,1
31,42,50,5.749428,2.874714,5.732498,1
77,6,50,34.496568,2.874714,34.394988,1
85,40,50,5.749428,2.874714,5.732498,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others
23,A68-Q337727-404,5518,5506,99.78253,12,13,11,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
12,55,Pass,273.90438,8.649612,815.946732,1
12,55,Pass,236.422728,8.649612,703.501776,1
12,15,Pass,8.649612,245.07234,715.034592,1
12,14,50,49.014468,23.065632,320.035644,3
15,32,Pass,54.780876,8.649612,141.276996,1
21,15,50,106.678548,23.065632,628.538472,3
25,19,50,54.780876,20.182428,305.619624,3
29,33,Pass,54.780876,8.649612,149.926608,1
30,47,Pass,14.41602,20.182428,77.846508,2
32,54,Pass,141.276996,8.649612,412.298172,1
33,55,Pass,268.137972,8.649612,746.749836,1
35,7,Pass,20.182428,20.182428,112.444956,2
37,43,50,66.313692,23.065632,392.115744,3
40,56,Pass,57.66408,8.649612,149.926608,1
45,19,50,60.547284,20.182428,366.166908,3
56,52,50,51.897672,31.715244,392.115744,3
54,10,Pass,11.532816,8.649612,31.715244,1
57,12,Pass,138.393792,8.649612,403.64856,1
59,45,Pass,8.649612,11.532816,34.598448,63
63,56,Pass,271.021176,8.649612,813.063528,1
63,56,Pass,271.021176,8.649612,813.063528,1
63,31,Pass,271.021176,8.649612,804.413916,1
63,31,Pass,271.021176,8.649612,807.29712,1
64,29,50,57.66408,23.065632,415.181376,3
65,23,Pass,80.729712,8.649612,219.123504,1
66,35,50,46.131264,25.948836,291.203604,3
72,35,50,54.780876,34.598448,435.363804,3
72,27,50,63.430488,25.948836,400.765356,3
77,44,Pass,83.612916,8.649612,222.006708,1
77,23,50,17.299224,20.182428,100.91214,2
77,23,50,20.182428,23.065632,92.262528,2
78,39,50,43.24806,25.948836,320.035644,3
80,32,Pass,54.780876,8.649612,158.57622,1
79,32,Pass,271.021176,8.649612,709.268184,1
80,8,Pass,273.90438,8.649612,815.946732,1
80,8,Pass,273.90438,8.649612,815.946732,1
80,8,Pass,66.313692,8.649612,196.057872,1
83,9,Pass,54.780876,8.649612,164.342628,1
82,7,Pass,17.299224,20.182428,89.379324,2
82,9,Pass,271.021176,8.649612,746.749836,1
82,9,Pass,271.021176,8.649612,769.815468,1
82,9,Pass,271.021176,8.649612,720.801,1
85,31,Pass,271.021176,8.649612,738.100224,1
85,31,Pass,268.137972,8.649612,755.399448,1
85,31,Pass,271.021176,8.649612,717.917796,1
31,42,Pass,5.749428,2.874714,5.732498,1
77,6,Pass,34.496568,2.874714,34.394988,1
85,40,Pass,5.749428,2.874714,5.732498,1

