[Wafer Information]
Wafer Number,21
Wafer ID,A03-Q337354-404
Job Name,X2L3QBJL_R_08_06
Model Name,EagleT
Lot Number,24101963-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,02/03/2024 03:33
End Time,02/03/2024 03:36
Inspection Time,0:03:21
Photo Time,0:01:37
Data Output Time,02/03/2024 04:22

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F29 Silicon powder
21,A03-Q337354-404,5518,5475,99.220732,43,48,28,6,13,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,34,50,273.90438,8.649612,772.698672,1
6,18,50,8.649612,83.612916,222.006708,1
6,18,50,8.649612,161.459424,426.714192,1
8,20,50,11.532816,8.649612,34.598448,63
9,20,50,14.41602,20.182428,72.0801,63
9,15,50,273.90438,8.649612,764.04906,1
14,50,50,14.41602,20.182428,69.196896,2
14,54,50,271.021176,8.649612,740.983428,1
15,54,50,34.598448,8.649612,86.49612,1
23,26,50,80.729712,8.649612,233.539524,1
23,12,50,271.021176,8.649612,740.983428,1
23,12,50,268.137972,8.649612,787.114692,1
23,12,50,219.123504,8.649612,637.188084,1
22,13,50,271.021176,8.649612,726.567408,1
29,55,50,54.780876,8.649612,147.043404,1
29,36,50,273.90438,8.649612,784.231488,1
29,3,50,83.612916,8.649612,210.473892,1
34,36,50,17.299224,17.299224,89.379324,2
43,12,50,172.99224,8.649612,507.443904,1
44,12,50,46.131264,8.649612,121.094568,1
47,49,50,14.41602,20.182428,69.196896,2
53,14,50,11.532816,14.41602,46.131264,63
52,56,50,20.182428,17.299224,89.379324,2
53,7,50,43.24806,23.065632,256.605156,3
54,14,50,80.729712,14.41602,256.605156,63
56,14,50,8.649612,144.1602,389.23254,1
57,35,50,273.90438,8.649612,810.180324,1
57,35,50,250.838748,8.649612,743.866632,1
59,18,50,17.299224,23.065632,89.379324,2
61,51,50,17.299224,25.948836,106.678548,2
62,34,50,20.182428,20.182428,98.028936,2
65,12,50,271.021176,8.649612,766.932264,1
66,12,50,271.021176,8.649612,810.180324,1
66,23,50,20.182428,20.182428,106.678548,2
67,22,50,25.948836,322.918848,1819.301724,2
74,57,50,8.649612,8.649612,25.948836,63
73,63,50,17.299224,20.182428,83.612916,2
74,55,50,271.021176,8.649612,778.46508,1
74,55,50,204.707484,8.649612,550.691964,1
77,54,50,271.021176,8.649612,755.399448,1
78,32,50,20.182428,20.182428,95.145732,2
84,60,50,17.299224,20.182428,92.262528,2
88,53,50,268.137972,8.649612,758.282652,1
89,40,50,17.299224,23.065632,92.262528,2
99,35,50,11.532816,20.182428,60.547284,63
5,32,50,25.872426,5.749428,34.394988,1
69,15,50,8.624142,2.874714,8.598747,1
84,28,50,17.248284,5.749428,20.063743,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F29 Silicon powder
21,A03-Q337354-404,5518,5507,99.800652,11,11,10,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,34,Pass,273.90438,8.649612,772.698672,1
6,18,Pass,8.649612,83.612916,222.006708,1
6,18,Pass,8.649612,161.459424,426.714192,1
8,20,Pass,11.532816,8.649612,34.598448,63
9,20,Pass,14.41602,20.182428,72.0801,63
9,15,Pass,273.90438,8.649612,764.04906,1
14,50,50,14.41602,20.182428,69.196896,2
14,54,Pass,271.021176,8.649612,740.983428,1
15,54,Pass,34.598448,8.649612,86.49612,1
23,26,Pass,80.729712,8.649612,233.539524,1
23,12,Pass,271.021176,8.649612,740.983428,1
23,12,Pass,268.137972,8.649612,787.114692,1
23,12,Pass,219.123504,8.649612,637.188084,1
22,13,Pass,271.021176,8.649612,726.567408,1
29,55,Pass,54.780876,8.649612,147.043404,1
29,36,Pass,273.90438,8.649612,784.231488,1
29,3,Pass,83.612916,8.649612,210.473892,1
34,36,50,17.299224,17.299224,89.379324,2
43,12,Pass,172.99224,8.649612,507.443904,1
44,12,Pass,46.131264,8.649612,121.094568,1
47,49,50,14.41602,20.182428,69.196896,2
53,14,Pass,11.532816,14.41602,46.131264,63
52,56,Pass,20.182428,17.299224,89.379324,2
53,7,50,43.24806,23.065632,256.605156,3
54,14,Pass,80.729712,14.41602,256.605156,63
56,14,Pass,8.649612,144.1602,389.23254,1
57,35,Pass,273.90438,8.649612,810.180324,1
57,35,Pass,250.838748,8.649612,743.866632,1
59,18,50,17.299224,23.065632,89.379324,2
61,51,50,17.299224,25.948836,106.678548,2
62,34,50,20.182428,20.182428,98.028936,2
65,12,Pass,271.021176,8.649612,766.932264,1
66,12,Pass,271.021176,8.649612,810.180324,1
66,23,50,20.182428,20.182428,106.678548,2
67,22,Pass,25.948836,322.918848,1819.301724,2
74,57,Pass,8.649612,8.649612,25.948836,63
73,63,50,17.299224,20.182428,83.612916,2
74,55,Pass,271.021176,8.649612,778.46508,1
74,55,Pass,204.707484,8.649612,550.691964,1
77,54,Pass,271.021176,8.649612,755.399448,1
78,32,Pass,20.182428,20.182428,95.145732,2
84,60,50,17.299224,20.182428,92.262528,2
88,53,Pass,268.137972,8.649612,758.282652,1
89,40,50,17.299224,23.065632,92.262528,2
99,35,Pass,11.532816,20.182428,60.547284,63
5,32,Pass,25.872426,5.749428,34.394988,1
69,15,Pass,8.624142,2.874714,8.598747,1
84,28,Pass,17.248284,5.749428,20.063743,1

