[Wafer Information]
Wafer Number,17
Wafer ID,A05-Q337354-404
Job Name,X2L3QBJL_R_08_06
Model Name,EagleT
Lot Number,24101963-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,02/03/2024 03:59
End Time,02/03/2024 04:02
Inspection Time,0:03:20
Photo Time,0:03:34
Data Output Time,02/03/2024 04:25

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F07 Incoming microlens periphery peeling
17,A05-Q337354-404,5518,5454,98.840159,64,80,43,19,12,6

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,45,50,273.90438,8.649612,815.946732,1
5,45,50,77.846508,8.649612,230.65632,1
5,45,50,271.021176,8.649612,804.413916,1
5,45,50,268.137972,8.649612,781.348284,1
6,45,50,271.021176,8.649612,810.180324,1
6,45,50,233.539524,8.649612,697.735368,1
14,56,50,72.0801,20.182428,449.779824,3
16,14,50,100.91214,23.065632,588.173616,3
16,12,50,43.24806,20.182428,271.021176,3
18,22,50,17.299224,17.299224,83.612916,2
18,55,50,17.299224,23.065632,100.91214,2
19,13,50,25.948836,8.649612,74.963304,1
19,13,50,14.41602,8.649612,37.481652,1
20,24,50,268.137972,8.649612,735.21702,1
23,41,50,11.532816,23.065632,69.196896,2
27,57,50,17.299224,20.182428,80.729712,2
29,37,50,40.364856,8.649612,103.795344,1
29,37,50,83.612916,8.649612,242.189136,1
29,37,50,83.612916,8.649612,239.305932,1
30,16,50,72.0801,23.065632,423.830988,3
31,10,50,74.963304,20.182428,429.597396,3
34,32,50,49.014468,23.065632,296.970012,3
36,12,50,8.649612,8.649612,25.948836,63
37,36,50,20.182428,14.41602,86.49612,2
38,23,50,46.131264,23.065632,285.437196,3
39,57,50,98.028936,8.649612,247.955544,1
38,16,50,86.49612,25.948836,570.874392,3
41,44,50,273.90438,8.649612,772.698672,1
42,16,50,46.131264,17.299224,242.189136,3
42,24,50,268.137972,8.649612,769.815468,1
42,24,50,271.021176,8.649612,720.801,1
42,24,50,63.430488,8.649612,164.342628,1
44,4,50,43.24806,20.182428,262.371564,3
46,45,50,54.780876,8.649612,161.459424,1
45,20,50,57.66408,23.065632,406.531764,3
51,52,50,8.649612,17.299224,51.897672,63
54,60,50,14.41602,20.182428,77.846508,2
54,28,50,43.24806,17.299224,224.889912,3
53,36,50,40.364856,23.065632,236.422728,3
56,7,50,8.649612,8.649612,25.948836,63
58,27,50,17.299224,20.182428,95.145732,2
59,17,50,14.41602,23.065632,83.612916,2
59,7,50,14.41602,20.182428,63.430488,2
62,44,50,268.137972,8.649612,769.815468,1
63,44,50,271.021176,8.649612,749.63304,1
63,44,50,273.90438,8.649612,789.997896,1
63,44,50,23.065632,8.649612,57.66408,1
63,9,50,28.83204,325.802052,1813.535316,2
63,7,50,14.41602,11.532816,46.131264,63
63,24,50,271.021176,8.649612,807.29712,1
63,24,50,271.021176,8.649612,715.034592,1
63,24,50,123.977772,8.649612,337.334868,1
66,8,50,49.014468,25.948836,311.386032,3
77,58,50,11.532816,8.649612,31.715244,1
78,23,50,271.021176,8.649612,789.997896,1
79,57,50,11.532816,8.649612,34.598448,1
