[Wafer Information]
Wafer Number,15
Wafer ID,A06-Q337354-404
Job Name,X2L3QBJL_R_08_06
Model Name,EagleT
Lot Number,24101963-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,02/03/2024 04:12
End Time,02/03/2024 04:15
Inspection Time,0:03:20
Photo Time,0:00:00
Data Output Time,02/03/2024 04:26

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F99 Others,F29 Silicon powder
15,A06-Q337354-404,5518,5495,99.583182,23,24,3,7,3,11

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,32,50,273.90438,8.649612,804.413916,1
6,32,50,213.357096,8.649612,579.524004,1
7,46,50,14.41602,23.065632,80.729712,2
16,39,50,17.299224,40.364856,158.57622,1
19,40,50,43.24806,31.715244,305.619624,3
18,37,50,14.41602,20.182428,74.963304,2
20,37,50,40.364856,31.715244,305.619624,3
20,22,50,14.41602,20.182428,69.196896,2
23,55,50,23.065632,14.41602,80.729712,63
24,44,50,20.182428,11.532816,69.196896,63
26,48,50,11.532816,11.532816,43.24806,63
34,55,50,8.649612,8.649612,25.948836,63
38,37,50,20.182428,11.532816,66.313692,63
39,37,50,8.649612,8.649612,25.948836,63
48,33,50,20.182428,17.299224,95.145732,2
51,66,50,17.299224,478.611864,1507.915692,63
58,33,50,20.182428,11.532816,63.430488,63
63,0,50,11.532816,11.532816,40.364856,63
64,4,50,28.83204,325.802052,2098.972512,2
71,60,50,43.24806,17.299224,242.189136,3
72,47,50,20.182428,20.182428,112.444956,2
76,8,50,20.182428,23.065632,121.094568,2
94,26,50,23.065632,11.532816,80.729712,63
95,26,50,23.065632,11.532816,74.963304,63

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F99 Others,F29 Silicon powder
15,A06-Q337354-404,5518,5509,99.836897,9,9,5,1,3

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,32,Pass,273.90438,8.649612,804.413916,1
6,32,Pass,213.357096,8.649612,579.524004,1
7,46,50,14.41602,23.065632,80.729712,2
16,39,50,17.299224,40.364856,158.57622,1
19,40,50,43.24806,31.715244,305.619624,3
18,37,50,14.41602,20.182428,74.963304,2
20,37,50,40.364856,31.715244,305.619624,3
20,22,50,14.41602,20.182428,69.196896,2
23,55,Pass,23.065632,14.41602,80.729712,63
24,44,Pass,20.182428,11.532816,69.196896,63
26,48,Pass,11.532816,11.532816,43.24806,63
34,55,Pass,8.649612,8.649612,25.948836,63
38,37,Pass,20.182428,11.532816,66.313692,63
39,37,Pass,8.649612,8.649612,25.948836,63
48,33,50,20.182428,17.299224,95.145732,2
51,66,Pass,17.299224,478.611864,1507.915692,63
58,33,Pass,20.182428,11.532816,63.430488,63
63,0,Pass,11.532816,11.532816,40.364856,63
64,4,Pass,28.83204,325.802052,2098.972512,2
71,60,50,43.24806,17.299224,242.189136,3
72,47,Pass,20.182428,20.182428,112.444956,2
76,8,50,20.182428,23.065632,121.094568,2
94,26,Pass,23.065632,11.532816,80.729712,63
95,26,Pass,23.065632,11.532816,74.963304,63

