[Wafer Information]
Wafer Number,13
Wafer ID,A07-Q337354-404
Job Name,X2L3QBJL_R_08_06
Model Name,EagleT
Lot Number,24101963-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,02/03/2024 04:20
End Time,02/03/2024 04:23
Inspection Time,0:03:21
Photo Time,0:03:45
Data Output Time,02/03/2024 05:05

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F07 Incoming microlens periphery peeling,F29 Silicon powder,F99 Others
13,A07-Q337354-404,5518,5421,98.242117,97,111,31,53,22,5

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
4,32,50,271.021176,8.649612,755.399448,1
6,45,50,11.532816,8.649612,34.598448,63
9,45,50,17.299224,527.626332,1712.623176,63
10,38,50,80.729712,8.649612,219.123504,1
9,26,50,83.612916,8.649612,239.305932,1
9,26,50,83.612916,8.649612,216.2403,1
12,44,50,23.065632,288.3204,945.690912,63
16,16,50,271.021176,8.649612,766.932264,1
16,53,50,8.649612,8.649612,25.948836,63
17,43,50,28.83204,565.107984,1865.432988,63
20,43,50,17.299224,544.925556,1810.652112,63
21,17,50,271.021176,8.649612,787.114692,1
23,44,50,17.299224,420.947784,1412.76996,63
24,35,50,8.649612,144.1602,366.166908,1
24,26,50,20.182428,23.065632,118.211364,2
24,26,50,14.41602,198.941076,628.538472,63
23,53,50,17.299224,556.458372,1773.17046,63
23,58,50,11.532816,8.649612,28.83204,1
23,58,50,11.532816,8.649612,31.715244,1
26,43,50,66.313692,11.532816,213.357096,63
25,32,50,268.137972,8.649612,789.997896,1
26,13,50,17.299224,17.299224,92.262528,2
27,43,50,123.977772,11.532816,406.531764,63
27,44,50,8.649612,8.649612,25.948836,63
28,8,50,14.41602,20.182428,74.963304,2
31,6,50,17.299224,20.182428,89.379324,2
30,11,50,28.83204,325.802052,1770.287256,2
30,11,50,28.83204,325.802052,2000.943576,2
30,8,50,14.41602,20.182428,72.0801,2
29,4,50,80.729712,8.649612,210.473892,1
32,44,50,8.649612,8.649612,25.948836,63
33,44,50,11.532816,8.649612,34.598448,63
34,42,50,31.715244,8.649612,89.379324,1
33,42,50,271.021176,8.649612,717.917796,1
35,8,50,17.299224,20.182428,95.145732,2
35,43,50,11.532816,426.714192,1389.704328,63
39,17,50,40.364856,8.649612,112.444956,1
38,37,50,43.24806,40.364856,458.429436,3
39,47,50,121.094568,11.532816,383.466132,63
40,9,50,17.299224,8.649612,51.897672,63
44,44,50,8.649612,8.649612,25.948836,63
44,32,50,271.021176,8.649612,720.801,1
44,32,50,271.021176,8.649612,723.684204,1
44,47,50,8.649612,8.649612,25.948836,63
45,32,50,273.90438,8.649612,795.764304,1
46,49,50,271.021176,8.649612,807.29712,1
