[Wafer Information]
Wafer Number,9
Wafer ID,A09-Q337354-404
Job Name,X2L3QBJL_R_08_06
Model Name,EagleT
Lot Number,24101963-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,02/03/2024 04:52
End Time,02/03/2024 04:55
Inspection Time,0:03:21
Photo Time,0:03:06
Data Output Time,02/03/2024 05:17

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F99 Others,F33 Black Foreign material,F13 Pad area damage,F29 Silicon powder
9,A09-Q337354-404,5518,5463,99.003262,55,77,46,10,18,1,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
12,54,50,49.014468,8.649612,141.276996,1
12,54,50,167.225832,8.649612,484.378272,1
20,59,50,271.021176,8.649612,715.034592,1
20,59,50,268.137972,8.649612,712.151388,1
20,11,50,268.137972,8.649612,697.735368,1
26,10,50,86.49612,8.649612,253.721952,1
26,10,50,271.021176,8.649612,784.231488,1
27,37,50,14.41602,20.182428,74.963304,2
29,35,50,273.90438,8.649612,787.114692,1
29,35,50,271.021176,8.649612,810.180324,1
33,58,50,271.021176,8.649612,717.917796,1
36,9,50,11.532816,23.065632,74.963304,1
36,9,50,20.122998,14.37357,83.121221,1
39,34,50,273.90438,8.649612,726.567408,1
39,34,50,69.196896,8.649612,201.82428,1
38,58,50,14.41602,20.182428,72.0801,2
43,59,50,121.094568,8.649612,360.4005,1
43,59,50,271.021176,8.649612,735.21702,1
44,61,50,14.41602,20.182428,69.196896,2
47,10,50,273.90438,8.649612,795.764304,1
47,10,50,271.021176,8.649612,804.413916,1
47,10,50,268.137972,8.649612,775.581876,1
47,10,50,271.021176,8.649612,761.165856,1
47,10,50,28.83204,8.649612,83.612916,1
48,47,50,11.532816,8.649612,28.83204,1
49,60,50,11.532816,8.649612,34.598448,63
51,35,50,271.021176,8.649612,726.567408,1
53,60,50,80.729712,8.649612,227.773116,1
56,58,50,273.90438,8.649612,787.114692,1
56,58,50,95.145732,8.649612,285.437196,1
57,17,50,8.649612,155.693016,441.130212,1
57,60,50,11.532816,17.299224,46.131264,63
57,57,50,271.021176,8.649612,764.04906,1
57,57,50,256.605156,8.649612,749.63304,1
61,57,50,17.299224,467.079048,1487.733264,63
63,59,50,271.021176,8.649612,772.698672,1
63,59,50,271.021176,8.649612,795.764304,1
63,10,50,11.532816,11.532816,40.364856,63
61,60,50,74.963304,8.649612,210.473892,1
63,49,50,17.299224,8.649612,46.131264,1
63,49,50,83.612916,8.649612,239.305932,1
63,49,50,86.49612,8.649612,245.07234,1
65,48,50,14.41602,20.182428,72.0801,2
69,3,50,25.948836,322.918848,2098.972512,2
70,3,50,25.948836,325.802052,2041.308432,2
70,3,50,25.948836,325.802052,1799.119296,2
70,3,50,23.065632,325.802052,2133.57096,2
72,35,50,271.021176,8.649612,758.282652,1
72,45,50,8.649612,8.649612,25.948836,63
73,35,50,268.137972,8.649612,712.151388,1
76,41,50,14.41602,524.743128,1678.024728,63
75,43,50,8.649612,8.649612,25.948836,63
76,50,50,83.612916,8.649612,210.473892,1
76,58,50,271.021176,8.649612,787.114692,1
76,21,50,8.649612,8.649612,25.948836,63
78,57,50,271.021176,8.649612,740.983428,1
78,57,50,271.021176,8.649612,772.698672,1
78,57,50,271.021176,8.649612,746.749836,1
78,57,50,57.66408,8.649612,149.926608,1
79,57,50,273.90438,8.649612,752.516244,1
80,21,50,40.364856,11.532816,121.094568,63
84,50,50,11.532816,400.765356,1343.573064,63
85,43,50,8.649612,83.612916,222.006708,1
85,41,50,11.532816,11.532816,40.364856,63
89,33,50,14.41602,530.509536,1689.557544,63
90,33,50,20.182428,14.41602,66.313692,63
90,40,50,20.182428,20.182428,112.444956,2
91,31,50,11.532816,17.299224,51.897672,63
91,31,50,74.963304,25.948836,438.247008,3
94,35,50,14.41602,524.743128,1686.67434,63
96,25,50,8.649612,8.649612,25.948836,63
98,35,50,8.649612,8.649612,25.948836,63
100,31,50,34.598448,521.859924,1770.287256,63
98,27,50,8.649612,8.649612,25.948836,63
101,30,50,14.41602,20.182428,63.430488,2
68,63,50,2.874714,14.37357,14.331245,1
63,62,50,20.122998,60.368994,341.083631,3

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F99 Others,F33 Black Foreign material,F13 Pad area damage,F29 Silicon powder
9,A09-Q337354-404,5518,5509,99.836897,9,11,5,2,1,1,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
12,54,Pass,49.014468,8.649612,141.276996,1
12,54,Pass,167.225832,8.649612,484.378272,1
20,59,Pass,271.021176,8.649612,715.034592,1
20,59,Pass,268.137972,8.649612,712.151388,1
20,11,Pass,268.137972,8.649612,697.735368,1
26,10,Pass,86.49612,8.649612,253.721952,1
26,10,Pass,271.021176,8.649612,784.231488,1
27,37,50,14.41602,20.182428,74.963304,2
29,35,Pass,273.90438,8.649612,787.114692,1
29,35,Pass,271.021176,8.649612,810.180324,1
33,58,Pass,271.021176,8.649612,717.917796,1
36,9,50,11.532816,23.065632,74.963304,1
36,9,50,20.122998,14.37357,83.121221,1
39,34,Pass,273.90438,8.649612,726.567408,1
39,34,Pass,69.196896,8.649612,201.82428,1
38,58,50,14.41602,20.182428,72.0801,2
43,59,Pass,121.094568,8.649612,360.4005,1
43,59,Pass,271.021176,8.649612,735.21702,1
44,61,50,14.41602,20.182428,69.196896,2
47,10,Pass,273.90438,8.649612,795.764304,1
47,10,Pass,271.021176,8.649612,804.413916,1
47,10,Pass,268.137972,8.649612,775.581876,1
47,10,Pass,271.021176,8.649612,761.165856,1
47,10,Pass,28.83204,8.649612,83.612916,1
48,47,Pass,11.532816,8.649612,28.83204,1
49,60,Pass,11.532816,8.649612,34.598448,63
51,35,Pass,271.021176,8.649612,726.567408,1
53,60,Pass,80.729712,8.649612,227.773116,1
56,58,Pass,273.90438,8.649612,787.114692,1
56,58,Pass,95.145732,8.649612,285.437196,1
57,17,Pass,8.649612,155.693016,441.130212,1
57,60,Pass,11.532816,17.299224,46.131264,63
57,57,Pass,271.021176,8.649612,764.04906,1
57,57,Pass,256.605156,8.649612,749.63304,1
61,57,Pass,17.299224,467.079048,1487.733264,63
63,59,Pass,271.021176,8.649612,772.698672,1
63,59,Pass,271.021176,8.649612,795.764304,1
63,10,Pass,11.532816,11.532816,40.364856,63
61,60,Pass,74.963304,8.649612,210.473892,1
63,49,Pass,17.299224,8.649612,46.131264,1
63,49,Pass,83.612916,8.649612,239.305932,1
63,49,Pass,86.49612,8.649612,245.07234,1
65,48,50,14.41602,20.182428,72.0801,2
69,3,Pass,25.948836,322.918848,2098.972512,2
70,3,Pass,25.948836,325.802052,2041.308432,2
70,3,Pass,25.948836,325.802052,1799.119296,2
70,3,Pass,23.065632,325.802052,2133.57096,2
72,35,Pass,271.021176,8.649612,758.282652,1
72,45,Pass,8.649612,8.649612,25.948836,63
73,35,Pass,268.137972,8.649612,712.151388,1
76,41,Pass,14.41602,524.743128,1678.024728,63
75,43,Pass,8.649612,8.649612,25.948836,63
76,50,Pass,83.612916,8.649612,210.473892,1
76,58,Pass,271.021176,8.649612,787.114692,1
76,21,Pass,8.649612,8.649612,25.948836,63
78,57,Pass,271.021176,8.649612,740.983428,1
78,57,Pass,271.021176,8.649612,772.698672,1
78,57,Pass,271.021176,8.649612,746.749836,1
78,57,Pass,57.66408,8.649612,149.926608,1
79,57,Pass,273.90438,8.649612,752.516244,1
80,21,Pass,40.364856,11.532816,121.094568,63
84,50,Pass,11.532816,400.765356,1343.573064,63
85,43,Pass,8.649612,83.612916,222.006708,1
85,41,Pass,11.532816,11.532816,40.364856,63
89,33,Pass,14.41602,530.509536,1689.557544,63
90,33,Pass,20.182428,14.41602,66.313692,63
90,40,50,20.182428,20.182428,112.444956,2
91,31,50,11.532816,17.299224,51.897672,63
91,31,50,74.963304,25.948836,438.247008,3
94,35,Pass,14.41602,524.743128,1686.67434,63
96,25,Pass,8.649612,8.649612,25.948836,63
98,35,Pass,8.649612,8.649612,25.948836,63
100,31,Pass,34.598448,521.859924,1770.287256,63
98,27,Pass,8.649612,8.649612,25.948836,63
101,30,50,14.41602,20.182428,63.430488,2
68,63,Pass,2.874714,14.37357,14.331245,1
63,62,50,20.122998,60.368994,341.083631,3

