[Wafer Information]
Wafer Number,21
Wafer ID,A14-Q337354-404
Job Name,X2L3QBJL_R_08_06
Model Name,EagleT
Lot Number,24101966-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,02/04/2024 03:28
End Time,02/04/2024 03:31
Inspection Time,0:03:21
Photo Time,0:03:05
Data Output Time,02/04/2024 04:49

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F99 Others
21,A14-Q337354-404,5518,5437,98.532077,81,92,70,9,12,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
14,50,50,63.430488,11.532816,210.473892,63
15,17,50,17.299224,17.299224,89.379324,2
16,24,50,20.182428,1954.812312,6178.706172,63
15,47,50,8.649612,8.649612,25.948836,63
15,24,50,11.532816,11.532816,40.364856,63
19,19,50,219.123504,8.649612,628.538472,1
19,19,50,271.021176,8.649612,761.165856,1
21,24,50,25.948836,11.532816,77.846508,63
21,20,50,11.532816,11.532816,40.364856,63
22,24,50,20.182428,1086.967908,3612.654612,63
22,20,50,8.649612,8.649612,25.948836,63
25,20,50,8.649612,172.99224,458.429436,1
23,24,50,20.182428,11.532816,63.430488,63
23,55,50,20.182428,11.532816,66.313692,63
25,55,50,14.41602,8.649612,43.24806,63
26,20,50,80.729712,11.532816,259.48836,63
27,20,50,147.043404,922.62528,3546.34092,63
27,20,50,11.532816,14.41602,49.014468,63
29,55,50,66.313692,11.532816,219.123504,63
28,58,50,17.299224,20.182428,95.145732,2
28,24,50,11.532816,8.649612,34.598448,63
32,55,50,8.649612,8.649612,25.948836,63
35,45,50,17.299224,23.065632,77.846508,63
36,55,50,121.094568,11.532816,386.349336,63
37,55,50,63.430488,11.532816,213.357096,63
40,19,50,54.780876,8.649612,158.57622,1
41,28,50,20.182428,1507.915692,4947.578064,63
45,47,50,17.299224,14.41602,83.612916,2
49,16,50,74.963304,11.532816,230.65632,63
50,16,50,17.299224,787.114692,2597.766804,63
50,44,50,17.299224,20.182428,77.846508,2
52,5,50,14.41602,20.182428,72.0801,2
55,16,50,17.299224,17.299224,66.313692,63
55,16,50,25.948836,11.532816,83.612916,63
55,16,50,77.846508,11.532816,271.021176,63
57,32,50,80.729712,14.41602,291.203604,63
58,32,50,23.065632,11.532816,77.846508,63
58,16,50,17.299224,668.903328,2156.636592,63
59,66,50,11.532816,8.649612,34.598448,63
59,43,50,23.065632,14.41602,77.846508,63
60,16,50,14.41602,14.41602,57.66408,63
61,16,50,11.532816,14.41602,49.014468,63
63,65,50,17.299224,418.06458,1389.704328,63
61,66,50,17.299224,14.41602,69.196896,63
64,32,50,14.41602,14.41602,57.66408,63
64,32,50,17.299224,781.348284,2525.686704,63
64,32,50,14.41602,11.532816,46.131264,63
65,32,50,14.41602,11.532816,49.014468,63
67,11,50,20.182428,11.532816,69.196896,63
67,32,50,147.043404,2093.206104,7184.944368,63
66,32,50,20.182428,11.532816,57.66408,63
68,59,50,72.0801,11.532816,239.305932,63
68,41,50,14.41602,126.860976,423.830988,63
69,65,50,14.41602,14.41602,57.66408,63
69,11,50,20.182428,1536.747732,5051.373408,63
69,11,50,14.41602,14.41602,57.66408,63
70,11,50,147.043404,1533.864528,5529.985272,63
70,59,50,129.74418,14.41602,444.013416,63
70,49,50,14.41602,20.182428,69.196896,2
72,5,50,20.182428,317.15244,1000.471788,63
72,65,50,14.41602,397.882152,1234.011312,63
71,65,50,20.182428,8.649612,60.547284,63
74,5,50,147.043404,1998.060372,6890.85756,63
75,36,50,23.065632,11.532816,74.963304,63
74,63,50,271.021176,8.649612,761.165856,1
74,63,50,271.021176,8.649612,801.530712,1
74,63,50,271.021176,8.649612,810.180324,1
74,63,50,167.225832,8.649612,498.794292,1
74,59,50,17.299224,14.41602,63.430488,63
79,59,50,11.532816,8.649612,34.598448,63
79,6,50,74.963304,11.532816,236.422728,63
78,6,50,8.649612,8.649612,25.948836,63
81,59,50,80.729712,11.532816,247.955544,63
81,6,50,77.846508,11.532816,259.48836,63
82,36,50,74.963304,11.532816,245.07234,63
83,36,50,80.729712,11.532816,256.605156,63
84,36,50,20.182428,1897.148232,6152.757336,63
84,59,50,147.043404,2067.257268,6965.820864,63
84,59,50,167.225832,11.532816,533.39274,63
85,46,50,14.41602,20.182428,74.963304,2
85,36,50,14.41602,11.532816,46.131264,63
86,39,50,20.182428,1135.982376,3699.150732,63
87,39,50,23.065632,1135.982376,3820.2453,63
87,58,50,17.299224,20.182428,86.49612,2
94,39,50,11.532816,360.4005,1159.048008,63
94,17,50,11.532816,20.182428,66.313692,2
97,39,50,20.182428,11.532816,57.66408,63
6,34,50,48.870138,2.874714,48.726233,1
28,53,50,17.248284,5.749428,28.66249,1
35,27,50,8.624142,2.874714,8.598747,1
83,49,50,8.624142,2.874714,8.598747,1
77,38,50,34.496568,51.744852,306.688643,3

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F99 Others
21,A14-Q337354-404,5518,5517,99.981877,1,1,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
14,50,Pass,63.430488,11.532816,210.473892,63
15,17,Pass,17.299224,17.299224,89.379324,2
16,24,Pass,20.182428,1954.812312,6178.706172,63
15,47,Pass,8.649612,8.649612,25.948836,63
15,24,Pass,11.532816,11.532816,40.364856,63
19,19,Pass,219.123504,8.649612,628.538472,1
19,19,Pass,271.021176,8.649612,761.165856,1
21,24,Pass,25.948836,11.532816,77.846508,63
21,20,Pass,11.532816,11.532816,40.364856,63
22,24,Pass,20.182428,1086.967908,3612.654612,63
22,20,Pass,8.649612,8.649612,25.948836,63
25,20,Pass,8.649612,172.99224,458.429436,1
23,24,Pass,20.182428,11.532816,63.430488,63
23,55,Pass,20.182428,11.532816,66.313692,63
25,55,Pass,14.41602,8.649612,43.24806,63
26,20,Pass,80.729712,11.532816,259.48836,63
27,20,Pass,147.043404,922.62528,3546.34092,63
27,20,Pass,11.532816,14.41602,49.014468,63
