[Wafer Information]
Wafer Number,13
Wafer ID,A18-Q337354-404
Job Name,X2L3QBJL_R_08_06
Model Name,EagleT
Lot Number,24101966-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,02/04/2024 04:36
End Time,02/04/2024 04:40
Inspection Time,0:03:21
Photo Time,0:01:37
Data Output Time,02/04/2024 05:07

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others
13,A18-Q337354-404,5518,5462,98.98514,56,77,36,30,11

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
1,29,50,83.612916,8.649612,233.539524,1
1,29,50,83.612916,8.649612,219.123504,1
1,33,50,17.299224,20.182428,109.561752,2
9,50,50,181.641852,8.649612,536.275944,1
9,35,50,271.021176,8.649612,712.151388,1
9,35,50,271.021176,8.649612,746.749836,1
12,34,50,54.780876,8.649612,155.693016,1
10,14,50,72.0801,8.649612,198.941076,1
17,12,50,28.83204,325.802052,1793.352888,2
17,12,50,28.83204,322.918848,2162.403,2
17,12,50,28.83204,320.035644,1830.83454,2
18,10,50,14.41602,20.182428,74.963304,2
20,40,50,11.532816,11.532816,40.364856,63
25,20,50,8.649612,14.41602,43.24806,63
24,55,50,14.41602,20.182428,66.313692,2
31,65,50,8.649612,23.065632,63.430488,1
32,35,50,259.48836,8.649612,772.698672,1
32,15,50,54.780876,8.649612,144.1602,1
34,60,50,11.532816,8.649612,28.83204,1
35,14,50,20.182428,20.182428,109.561752,2
36,44,50,17.299224,14.41602,80.729712,2
38,11,50,20.182428,23.065632,121.094568,2
40,34,50,25.948836,322.918848,1724.155992,2
40,34,50,25.948836,320.035644,2049.958044,2
42,14,50,14.41602,11.532816,49.014468,63
44,26,50,20.182428,20.182428,106.678548,2
48,62,50,28.83204,325.802052,1767.404052,2
48,62,50,28.83204,325.802052,1827.951336,2
48,62,50,25.948836,320.035644,1793.352888,2
48,14,50,14.41602,530.509536,1692.440748,63
49,16,50,207.590688,8.649612,611.239248,1
50,22,50,11.532816,11.532816,43.24806,63
49,61,50,14.41602,20.182428,66.313692,2
54,14,50,43.24806,11.532816,129.74418,63
54,3,50,37.481652,8.649612,106.678548,1
56,51,50,273.90438,8.649612,764.04906,1
56,51,50,112.444956,8.649612,337.334868,1
56,3,50,11.532816,11.532816,40.364856,63
57,65,50,8.649612,86.49612,219.123504,1
57,65,50,14.41602,412.298172,1360.872288,63
57,67,50,273.90438,8.649612,818.829936,1
56,27,50,17.299224,20.182428,77.846508,2
56,60,50,11.532816,8.649612,31.715244,1
59,17,50,17.299224,20.182428,74.963304,2
59,1,50,28.83204,325.802052,2000.943576,2
59,1,50,28.83204,325.802052,2107.622124,2
59,1,50,28.83204,325.802052,2098.972512,2
60,1,50,28.83204,325.802052,2220.06708,2
60,1,50,28.83204,325.802052,2127.804552,2
60,1,50,28.83204,325.802052,2274.847956,2
61,9,50,20.182428,11.532816,69.196896,63
61,3,50,17.299224,11.532816,49.014468,63
65,36,50,25.948836,325.802052,1721.272788,2
70,54,50,14.41602,20.182428,83.612916,2
73,15,50,25.948836,8.649612,74.963304,1
73,15,50,271.021176,8.649612,738.100224,1
73,15,50,271.021176,8.649612,769.815468,1
73,15,50,271.021176,8.649612,761.165856,1
72,59,50,80.729712,8.649612,219.123504,1
74,16,50,273.90438,8.649612,810.180324,1
74,16,50,190.291464,8.649612,565.107984,1
