[Wafer Information]
Wafer Number,13
Wafer ID,Q337354-15B6
Job Name,X2L3QBJL_S_12_05
Model Name,EagleT
Lot Number,24101974-001
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,02/01/2024 05:53
End Time,02/01/2024 06:00
Inspection Time,0:06:49
Photo Time,0:17:46
Data Output Time,02/01/2024 06:40

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F33 Black Foreign material,F07 Incoming microlens periphery peeling,F13 Pad area damage
13,Q337354-15B6,19424,19108,98.373147,316,398,396,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
2,69,50,8.649612,43.24806,112.444956,1
1,70,50,17.299224,20.182428,89.379324,2
4,55,50,11.532816,80.729712,268.137972,1
4,56,50,43.24806,20.182428,242.189136,3
6,53,50,77.846508,11.532816,256.605156,1
6,53,50,77.846508,11.532816,245.07234,1
6,48,50,17.299224,20.182428,74.963304,2
8,86,50,49.014468,28.83204,305.619624,3
8,43,50,8.649612,31.715244,66.313692,1
8,43,50,20.134884,37.393356,169.308524,1
8,76,50,77.846508,11.532816,239.305932,1
13,39,50,54.780876,34.598448,435.363804,3
12,45,50,14.41602,20.182428,69.196896,2
12,61,50,46.131264,28.83204,345.98448,3
11,64,50,17.299224,20.182428,92.262528,2
13,88,50,49.014468,20.182428,271.021176,3
15,31,50,23.065632,49.014468,129.74418,1
15,31,50,31.640532,80.539536,413.227584,1
18,38,50,83.612916,28.83204,622.772064,3
19,27,50,8.649612,72.0801,170.109036,1
19,27,50,28.76412,97.798008,596.884288,1
19,40,50,43.24806,60.547284,501.677496,1
19,40,50,28.76412,63.281064,482.098848,1
22,49,50,8.649612,43.24806,98.028936,1
22,49,50,28.76412,57.52824,361.574136,1
22,97,50,43.24806,23.065632,273.90438,3
24,80,50,8.649612,46.131264,123.977772,1
24,36,50,8.649612,46.131264,115.32816,1
24,25,50,11.532816,46.131264,161.459424,1
24,40,50,83.612916,69.196896,717.917796,3
24,40,50,89.168772,83.415948,1208.116756,3
24,40,50,28.76412,37.393356,272.61542,1
24,47,50,8.649612,49.014468,132.627384,1
26,63,50,14.41602,20.182428,74.963304,2
26,30,50,14.41602,20.182428,72.0801,2
25,25,50,14.41602,20.182428,86.49612,2
31,21,50,23.065632,11.532816,80.729712,1
32,37,50,14.41602,23.065632,83.612916,2
32,33,50,25.948836,317.15244,1499.26608,2
34,55,50,14.41602,17.299224,77.846508,2
34,52,50,20.182428,317.15244,1461.784428,2
34,108,50,60.547284,43.24806,455.546232,3
35,65,50,23.065632,25.948836,132.627384,2
37,87,50,14.41602,20.182428,86.49612,2
35,107,50,63.430488,20.182428,397.882152,3
40,19,50,46.131264,28.83204,337.334868,3
39,57,50,20.182428,20.182428,95.145732,2
41,50,50,20.182428,20.182428,89.379324,2
39,92,50,14.41602,20.182428,74.963304,2
43,42,50,17.299224,17.299224,86.49612,2
46,113,50,8.649612,46.131264,126.860976,1
48,11,50,11.532816,83.612916,256.605156,1
49,57,50,17.299224,20.182428,83.612916,2
48,62,50,14.41602,20.182428,77.846508,2
50,42,50,77.846508,8.649612,204.707484,1
53,14,50,49.014468,25.948836,348.867684,3
54,78,50,17.299224,20.182428,83.612916,2
57,38,50,17.299224,314.269236,1435.835592,2
58,75,50,17.299224,20.182428,103.795344,2
62,13,50,14.41602,20.182428,77.846508,2
60,91,50,11.532816,20.182428,63.430488,2
61,39,50,17.299224,20.182428,80.729712,2
63,85,50,17.299224,20.182428,89.379324,2
64,65,50,17.299224,20.182428,92.262528,2
64,105,50,14.41602,311.386032,1458.901224,2
68,36,50,8.649612,46.131264,121.094568,1
68,113,50,8.649612,49.014468,118.211364,1
68,82,50,28.83204,31.715244,247.955544,2
68,112,50,20.182428,14.41602,72.0801,2
70,121,50,11.532816,80.729712,239.305932,1
69,53,50,23.065632,317.15244,1458.901224,2
69,53,50,14.41602,311.386032,1490.616468,2
69,53,50,11.532816,20.182428,66.313692,2
70,53,50,28.83204,317.15244,1530.981324,2
70,53,50,25.948836,317.15244,1571.34618,2
70,53,50,23.065632,317.15244,1551.163752,2
71,53,50,28.83204,317.15244,1559.813364,2
71,53,50,14.41602,311.386032,1536.747732,2
74,7,50,164.342628,8.649612,467.079048,1
71,39,50,17.299224,23.065632,100.91214,2
72,39,50,17.299224,20.182428,86.49612,2
73,20,50,14.41602,20.182428,80.729712,2
72,51,50,14.41602,20.182428,66.313692,2
71,69,50,17.299224,20.182428,77.846508,2
72,79,50,14.41602,311.386032,1375.288308,2
72,79,50,14.41602,311.386032,1479.083652,2
72,79,50,17.299224,311.386032,1352.222676,2
73,32,50,14.41602,17.299224,72.0801,2
72,86,50,72.0801,8.649612,201.82428,1
72,86,50,77.846508,8.649612,213.357096,1
72,97,50,80.729712,8.649612,213.357096,1
79,21,50,14.41602,314.269236,1458.901224,2
79,21,50,14.41602,311.386032,1499.26608,2
79,21,50,17.299224,317.15244,1432.952388,2
79,31,50,14.41602,20.182428,89.379324,2
82,43,50,14.41602,311.386032,1430.069184,2
84,34,50,17.299224,20.182428,80.729712,2
84,50,50,14.41602,20.182428,83.612916,2
90,47,50,25.948836,31.715244,224.889912,2
90,45,50,11.532816,20.182428,63.430488,2
90,3,50,11.532816,49.014468,135.510588,1
90,14,50,8.649612,46.131264,115.32816,1
92,66,50,8.649612,37.481652,109.561752,1
94,42,50,77.846508,8.649612,201.82428,1
95,43,50,14.41602,20.182428,72.0801,2
94,47,50,14.41602,20.182428,69.196896,2
95,62,50,17.299224,20.182428,86.49612,2
96,59,50,14.41602,5.766408,28.83204,1
96,123,50,86.49612,23.065632,576.6408,3
99,3,50,46.131264,25.948836,337.334868,3
106,31,50,17.299224,20.182428,86.49612,2
105,118,50,14.41602,20.182428,89.379324,2
