[Wafer Information]
Wafer Number,11
Wafer ID,Q338384-08F2
Job Name,X2L3QBJL_S_12_05
Model Name,EagleT
Lot Number,24102022-002
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/30/2024 08:07
End Time,01/30/2024 08:14
Inspection Time,0:06:44
Photo Time,0:14:05
Data Output Time,01/31/2024 07:23

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F07 Incoming microlens periphery peeling,F99 Others
11,Q338384-08F2,19601,19436,99.158206,165,198,198

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
7,48,50,57.66408,25.948836,354.634092,3
10,74,50,25.948836,49.014468,259.48836,2
15,94,50,14.41602,20.182428,74.963304,2
19,40,50,46.131264,31.715244,317.15244,3
19,40,50,51.775416,37.393356,447.663216,3
16,48,50,49.014468,40.364856,351.750888,3
16,48,50,54.651828,48.899004,505.055936,3
21,85,50,37.481652,40.364856,380.582928,3
27,100,50,25.948836,25.948836,170.109036,2
26,37,50,17.299224,23.065632,98.028936,2
26,69,50,17.299224,20.182428,92.262528,2
31,54,50,23.065632,8.649612,63.430488,1
39,95,50,46.131264,28.83204,314.269236,3
41,107,50,20.182428,23.065632,115.32816,2
48,106,50,14.41602,20.182428,69.196896,2
47,81,50,14.41602,20.182428,77.846508,2
48,80,50,28.83204,322.918848,1582.878996,2
48,80,50,28.83204,317.15244,1525.214916,2
47,80,50,25.948836,317.15244,1490.616468,2
47,80,50,25.948836,317.15244,1470.43404,2
49,68,50,14.41602,20.182428,74.963304,2
50,44,50,14.41602,20.182428,80.729712,2
51,66,50,20.182428,17.299224,80.729712,2
51,110,50,14.41602,20.182428,72.0801,2
52,87,50,54.780876,8.649612,155.693016,1
54,42,50,14.41602,23.065632,95.145732,2
57,107,50,23.065632,23.065632,121.094568,2
62,48,50,40.364856,20.182428,149.926608,2
66,14,50,20.182428,17.299224,77.846508,2
74,70,50,11.532816,5.766408,23.065632,1
72,113,50,37.481652,40.364856,360.4005,3
72,113,50,46.022592,46.022592,493.577392,3
75,106,50,49.014468,31.715244,366.166908,3
75,106,50,63.281064,37.393356,522.273752,3
82,22,50,14.41602,25.948836,89.379324,2
83,9,50,31.715244,40.364856,276.787584,3
90,47,50,8.649612,43.24806,112.444956,1
92,17,50,17.299224,20.182428,92.262528,2
93,104,50,31.715244,31.715244,250.838748,2
92,102,50,14.41602,51.897672,222.006708,2
92,102,50,14.41602,17.299224,77.846508,2
93,102,50,17.299224,311.386032,1415.653164,2
93,102,50,14.41602,311.386032,1530.981324,2
92,101,50,14.41602,17.299224,80.729712,2
93,101,50,14.41602,17.299224,72.0801,2
97,54,50,86.49612,8.649612,247.955544,1
101,23,50,14.41602,20.182428,74.963304,2
104,117,50,46.131264,51.897672,516.093516,3
104,117,50,48.899004,54.651828,625.580648,3
108,14,50,17.299224,20.182428,92.262528,2
108,28,50,8.649612,77.846508,155.693016,1
108,28,50,28.76412,103.550832,622.711012,1
112,47,50,8.649612,43.24806,121.094568,1
112,3,50,40.364856,43.24806,418.06458,3
112,3,50,46.022592,48.899004,576.796836,3
116,31,50,80.729712,8.649612,224.889912,1
120,21,50,34.598448,34.598448,328.685256,3
120,21,50,46.022592,51.775416,591.145016,3
124,121,50,11.532816,8.649612,28.83204,1
124,121,50,17.258472,17.258472,54.523084,1
129,110,50,28.83204,43.24806,334.451664,3
129,110,50,34.516944,48.899004,433.315036,3
130,84,50,20.182428,23.065632,109.561752,2
134,14,50,8.649612,51.897672,129.74418,1
134,104,50,25.948836,25.948836,187.40826,2
137,11,50,20.182428,23.065632,106.678548,2
137,40,50,14.41602,23.065632,83.612916,2
139,17,50,80.729712,8.649612,227.773116,1
139,103,50,28.83204,11.532816,86.49612,1
146,111,50,54.780876,51.897672,821.71314,3
146,111,50,57.52824,74.786712,1053.156412,3
150,113,50,17.299224,20.182428,103.795344,2
157,112,50,51.897672,112.444956,1135.982376,3
157,112,50,51.775416,120.809304,1256.900568,3
156,113,50,8.649612,46.131264,118.211364,1
156,27,50,40.364856,46.131264,446.89662,3
156,27,50,40.269768,57.52824,550.970112,3
156,14,50,8.649612,54.780876,132.627384,1
158,33,50,8.649612,86.49612,236.422728,1
160,108,50,80.729712,8.649612,207.590688,1
161,92,50,103.795344,8.649612,279.670788,1
160,59,50,49.014468,11.532816,138.393792,1
163,96,50,80.729712,112.444956,1666.491912,3
163,96,50,94.921596,117.932892,2223.9679,3
165,15,50,17.299224,20.182428,100.91214,2
168,30,50,17.299224,20.182428,86.49612,2
178,92,50,20.182428,20.182428,98.028936,2
180,33,50,8.649612,83.612916,222.006708,1
182,86,50,80.729712,8.649612,222.006708,1
182,97,50,80.729712,8.649612,227.773116,1
182,97,50,80.729712,8.649612,230.65632,1
184,96,50,74.963304,83.612916,1254.19374,3
184,96,50,80.539536,92.045184,1549.60344,3
184,62,50,17.299224,20.182428,103.795344,2
185,79,50,43.24806,25.948836,285.437196,3
5,58,50,57.52824,51.775416,416.09722,3
9,84,50,25.887708,63.281064,278.354692,63
14,80,50,51.775416,23.011296,275.485056,3
16,91,50,46.022592,37.393356,327.138504,3
23,54,50,51.775416,31.640532,378.791952,3
46,62,50,46.022592,37.393356,249.658332,1
46,62,50,89.168772,60.404652,424.706128,1
48,111,50,51.775416,66.157476,513.664844,3
49,48,50,54.651828,20.134884,281.224328,3
55,23,50,48.899004,46.022592,355.834864,3
58,7,50,23.011296,69.033888,304.181416,3
59,28,50,51.775416,43.14618,502.1863,3
64,107,50,17.258472,60.404652,292.702872,3
63,116,50,14.38206,17.258472,80.349808,1
63,116,50,14.38206,28.76412,91.828352,1
72,111,50,23.011296,17.258472,123.394348,1
72,111,50,20.134884,28.76412,175.047796,1
72,102,50,34.516944,57.52824,258.26724,3
74,109,50,25.887708,86.29236,309.920688,3
74,109,50,20.134884,17.258472,109.046168,1
74,109,50,23.011296,28.76412,129.13362,1
74,112,50,20.134884,17.258472,109.046168,1
74,112,50,20.134884,28.76412,134.872892,1
104,123,50,43.14618,48.899004,525.143388,3
111,121,50,74.786712,48.899004,680.103732,3
128,114,50,23.011296,51.775416,298.442144,3
128,119,50,11.505648,11.505648,45.914176,1
148,8,50,20.134884,77.663124,203.744156,3
158,23,50,17.258472,51.775416,238.179788,3
158,113,50,48.899004,43.14618,350.095592,3
164,92,50,63.281064,106.427244,1417.600184,3
178,97,50,17.258472,14.38206,74.610536,1
178,97,50,14.38206,11.505648,45.914176,1
189,92,50,17.258472,31.640532,123.394348,1
