[Wafer Information]
Wafer Number,23
Wafer ID,A24-Q338384-404
Job Name,X2L3QBJL_R_08_06
Model Name,EagleT
Lot Number,24102023-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,02/02/2024 01:34
End Time,02/02/2024 01:37
Inspection Time,0:03:21
Photo Time,0:03:17
Data Output Time,02/02/2024 03:21

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F07 Incoming microlens periphery peeling,F13 Pad area damage
23,A24-Q338384-404,5518,5476,99.238855,42,67,21,14,24,4,4

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,30,50,273.90438,8.649612,810.180324,1
6,30,50,271.021176,8.649612,795.764304,1
11,36,50,49.014468,23.065632,276.787584,3
21,17,50,112.444956,25.948836,775.581876,3
23,26,50,49.014468,23.065632,288.3204,3
26,53,50,161.459424,8.649612,484.378272,1
26,7,50,271.021176,8.649612,720.801,1
29,30,50,271.021176,8.649612,746.749836,1
29,30,50,271.021176,8.649612,772.698672,1
34,57,50,17.299224,23.065632,100.91214,2
36,1,50,28.83204,325.802052,2026.892412,2
38,14,50,17.299224,23.065632,95.145732,2
43,37,50,144.1602,25.948836,977.406156,3
45,7,50,43.24806,23.065632,271.021176,3
49,31,50,17.299224,25.948836,98.028936,2
56,18,50,40.364856,23.065632,250.838748,3
57,66,50,46.131264,17.299224,242.189136,3
60,11,50,28.83204,328.685256,2012.476392,2
60,11,50,28.83204,328.685256,1995.177168,2
60,11,50,28.83204,325.802052,2176.81902,2
59,11,50,28.83204,325.802052,1995.177168,2
61,26,50,95.145732,25.948836,591.05682,3
63,20,50,17.299224,17.299224,98.028936,2
63,35,50,69.196896,20.182428,406.531764,3
68,7,50,271.021176,8.649612,810.180324,1
68,7,50,271.021176,8.649612,813.063528,1
68,7,50,123.977772,8.649612,363.283704,1
71,50,50,17.299224,17.299224,89.379324,2
70,53,50,273.90438,8.649612,732.333816,1
76,34,50,57.66408,23.065632,331.56846,3
77,31,50,43.24806,20.182428,247.955544,3
78,54,50,63.430488,20.182428,357.517296,3
79,36,50,386.349336,273.90438,7009.068924,2
79,36,50,28.83204,236.422728,1776.053664,2
79,36,50,31.715244,236.422728,1649.192688,2
79,36,50,28.83204,236.422728,1755.871236,2
80,36,50,28.83204,236.422728,1851.016968,2
80,36,50,31.715244,236.422728,1640.543076,2
79,35,50,20.182428,31.715244,147.043404,63
79,35,50,60.547284,40.364856,585.290412,63
79,35,50,389.23254,406.531764,39076.063812,2
79,35,50,28.83204,23.065632,123.977772,63
79,35,50,386.349336,403.64856,10664.971596,2
79,35,50,28.83204,328.685256,2280.614364,2
79,35,50,28.83204,328.685256,2205.65106,2
79,35,50,28.83204,322.918848,2084.556492,2
80,35,50,331.56846,51.897672,2871.671184,63
