[Wafer Information]
Wafer Number,9
Wafer ID,Q338384-13D3
Job Name,X2L3QBJL_S_12_P5
Model Name,
Lot Number,24102028-001
Description,
Wafer Size(mm),300
Die Size XY(um),X,1348.65,Y,2279.404
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,02/03/2024 01:01
End Time,02/03/2024 01:03
Inspection Time,0:02:16
Photo Time,0:00:00
Data Output Time,02/03/2024 01:04

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F13 Pad area damage
9,Q338384-13D3,19060,18760,98.426023,300,650,650

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
4,72,50,22.957088,2.869636,22.957088,1
6,41,50,14.34818,5.739272,22.957088,1
6,52,50,25.826724,5.739272,48.783812,1
6,74,50,37.305268,2.869636,37.305268,1
7,71,50,5.739272,8.608908,17.217816,1
9,87,50,8.608908,5.739272,11.478544,1
9,87,50,11.478544,5.739272,17.217816,1
9,87,50,14.34818,8.608908,31.565996,1
8,65,50,8.608908,8.608908,20.087452,1
8,65,50,14.34818,5.739272,22.957088,1
8,74,50,11.478544,5.739272,17.217816,1
8,74,50,22.957088,5.739272,34.435632,1
8,76,50,8.608908,2.869636,8.608908,1
9,65,50,8.608908,5.739272,14.34818,1
9,63,50,37.305268,2.869636,37.305268,1
9,76,50,8.608908,2.869636,8.608908,1
9,78,50,8.608908,2.869636,8.608908,1
9,78,50,8.608908,2.869636,8.608908,1
9,78,50,8.608908,2.869636,8.608908,1
9,78,50,8.608908,2.869636,8.608908,1
9,78,50,20.087452,2.869636,20.087452,1
10,42,50,28.69636,43.04454,241.049424,1
11,45,50,28.69636,37.305268,278.354692,1
12,39,50,28.69636,63.131992,272.61542,1
15,84,50,28.69636,2.869636,28.69636,1
15,34,50,28.69636,37.305268,275.485056,1
16,50,50,28.69636,22.957088,137.742528,1
20,77,50,8.608908,5.739272,11.478544,1
21,99,50,8.608908,20.087452,54.523084,1
21,41,50,28.69636,37.305268,229.57088,1
23,76,50,20.087452,2.869636,20.087452,1
23,76,50,8.608908,2.869636,8.608908,1
25,87,50,8.608908,5.739272,11.478544,1
25,87,50,8.608908,5.739272,14.34818,1
25,87,50,20.087452,2.869636,20.087452,1
25,87,50,8.608908,2.869636,8.608908,1
26,88,50,8.608908,5.739272,14.34818,1
26,88,50,8.608908,5.739272,14.34818,1
26,81,50,25.826724,14.34818,66.001628,1
28,75,50,8.608908,5.739272,14.34818,1
28,63,50,25.826724,5.739272,48.783812,1
29,49,50,5.739272,8.608908,14.34818,1
29,85,50,37.305268,5.739272,45.914176,1
29,85,50,11.478544,2.869636,11.478544,1
29,85,50,8.608908,2.869636,8.608908,1
31,87,50,8.608908,5.739272,14.34818,1
31,87,50,17.217816,5.739272,25.826724,1
30,72,50,17.217816,2.869636,17.217816,1
30,83,50,8.608908,2.869636,8.608908,1
29,81,50,34.435632,2.869636,34.435632,1
30,61,50,8.608908,2.869636,8.608908,1
30,28,50,11.478544,2.869636,11.478544,1
30,28,50,8.608908,2.869636,8.608908,1
30,28,50,11.478544,2.869636,11.478544,1
32,52,50,8.608908,2.869636,8.608908,1
33,40,50,8.608908,5.739272,11.478544,1
33,38,50,8.608908,8.608908,20.087452,1
33,38,50,11.478544,11.478544,43.04454,1
34,54,50,14.34818,25.826724,54.523084,1
44,75,50,17.217816,43.04454,152.090708,1
45,75,50,25.826724,2.869636,25.826724,1
44,63,50,2.869636,17.217816,17.217816,1
45,31,50,14.34818,22.957088,83.219444,1
49,77,50,8.608908,5.739272,11.478544,1
48,88,50,11.478544,5.739272,17.217816,1
48,83,50,8.608908,2.869636,8.608908,1
47,75,50,17.217816,14.34818,40.174904,1
48,87,50,17.217816,2.869636,17.217816,1
48,76,50,8.608908,2.869636,8.608908,1
47,33,50,8.608908,2.869636,8.608908,1
48,50,50,8.608908,8.608908,25.826724,1
51,71,50,5.739272,8.608908,11.478544,1
50,72,50,28.69636,31.565996,137.742528,1
51,81,50,28.69636,2.869636,28.69636,1
52,105,50,8.608908,2.869636,8.608908,1
52,105,50,8.608908,2.869636,8.608908,1
51,104,50,11.478544,14.34818,51.653448,1
52,75,50,11.478544,31.565996,83.219444,1
52,75,50,11.478544,31.565996,88.958716,1
52,87,50,8.608908,5.739272,11.478544,1
52,30,50,8.608908,2.869636,8.608908,1
52,61,50,17.217816,2.869636,17.217816,1
52,61,50,11.478544,2.869636,11.478544,1
52,61,50,11.478544,2.869636,11.478544,1
51,16,50,5.739272,8.608908,11.478544,1
52,17,50,8.608908,2.869636,8.608908,1
52,17,50,8.608908,2.869636,8.608908,1
52,17,50,11.478544,2.869636,11.478544,1
