[Wafer Information]
Wafer Number,11
Wafer ID,Q338384-14C6
Job Name,X2L3QBJL_S_12_P5
Model Name,EagleT
Lot Number,24102028-001
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,02/02/2024 10:57
End Time,02/02/2024 11:03
Inspection Time,0:06:46
Photo Time,0:29:39
Data Output Time,02/03/2024 01:09

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F13 Pad area damage,F99 Others,F16 Die scratch
11,Q338384-14C6,19703,19380,98.360656,323,483,476,7

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
22,37,50,51.897672,37.481652,412.298172,3
22,37,50,60.404652,48.899004,631.31992,3
23,100,50,89.379324,23.065632,542.042352,3
24,70,50,8.649612,152.809812,449.779824,1
24,58,50,8.649612,46.131264,126.860976,1
30,37,50,14.41602,5.766408,28.83204,1
34,99,50,17.299224,17.299224,77.846508,1
34,99,50,17.258472,46.022592,232.440516,1
34,99,50,14.38206,34.516944,100.43726,1
40,18,50,23.065632,57.66408,340.218072,3
40,18,50,28.76412,66.157476,513.664844,3
46,26,50,8.649612,149.926608,444.013416,1
48,53,50,46.131264,37.481652,458.429436,3
48,53,50,54.651828,43.14618,660.01628,3
52,87,50,54.780876,8.649612,152.809812,1
53,84,50,60.547284,37.481652,527.626332,3
53,84,50,17.258472,5.752824,28.69636,1
68,91,50,8.649612,49.014468,123.977772,1
68,25,50,8.649612,49.014468,121.094568,1
68,14,50,8.649612,46.131264,123.977772,1
70,22,50,8.649612,80.729712,233.539524,1
70,44,50,8.649612,80.729712,222.006708,1
74,81,50,49.014468,8.649612,126.860976,1
74,37,50,11.532816,5.766408,23.065632,1
82,74,50,40.364856,43.24806,363.283704,3
82,74,50,48.899004,51.775416,505.055936,3
90,14,50,8.649612,49.014468,126.860976,1
90,26,50,8.649612,149.926608,415.181376,1
99,75,50,8.649612,31.715244,86.49612,1
99,75,50,74.786712,31.640532,487.83812,63
99,75,50,28.76412,31.640532,284.093964,1
110,97,50,51.897672,46.131264,608.356044,3
110,97,50,60.404652,51.775416,757.583904,3
112,36,50,8.649612,51.897672,132.627384,1
112,37,50,8.649612,149.926608,432.4806,1
134,113,50,8.649612,49.014468,123.977772,1
134,102,50,8.649612,25.948836,72.0801,1
136,22,50,8.649612,80.729712,224.889912,1
139,48,50,17.299224,8.649612,43.24806,1
140,48,50,17.299224,8.649612,46.131264,1
140,48,50,14.38206,5.752824,20.087452,1
152,26,50,40.364856,46.131264,504.5607,3
152,26,50,48.899004,57.52824,714.539364,3
