[Wafer Information]
Wafer Number,5
Wafer ID,Q338384-12E0
Job Name,X2L3QBJL_S_12_05
Model Name,EagleT
Lot Number,24102028-003
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/31/2024 01:12
End Time,01/31/2024 01:19
Inspection Time,0:06:36
Photo Time,1:06:36
Data Output Time,01/31/2024 05:13

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F07 Incoming microlens periphery peeling,F99 Others,F82 Top side chipping no damage sensor area,F13 Pad area damage
5,Q338384-12E0,18745,18178,96.975193,567,1148,1143,5

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
11,52,50,17.299224,20.182428,86.49612,2
15,65,50,17.299224,25.948836,115.32816,2
17,89,50,17.299224,23.065632,83.612916,2
18,96,50,115.32816,23.065632,729.450612,3
22,84,50,49.014468,43.24806,461.31264,2
24,37,50,8.649612,152.809812,400.765356,1
32,38,50,17.299224,20.182428,80.729712,2
35,90,50,34.598448,34.598448,334.451664,2
39,32,50,14.41602,20.182428,74.963304,2
41,44,50,23.065632,31.715244,152.809812,2
44,89,50,17.299224,291.203604,1352.222676,2
44,89,50,14.41602,311.386032,1418.536368,2
43,72,50,14.41602,20.182428,72.0801,2
50,33,50,17.299224,17.299224,89.379324,2
52,76,50,54.780876,8.649612,149.926608,1
57,32,50,20.182428,25.948836,123.977772,2
58,93,50,28.83204,28.83204,219.123504,2
59,94,50,17.299224,20.182428,95.145732,2
58,44,50,17.299224,20.182428,100.91214,2
62,84,50,14.41602,20.182428,72.0801,2
64,92,50,17.299224,20.182428,86.49612,2
68,91,50,8.649612,28.83204,74.963304,1
67,81,50,17.299224,8.649612,43.24806,1
67,81,50,11.505648,11.505648,28.69636,1
67,61,50,17.299224,20.182428,86.49612,2
67,52,50,14.41602,23.065632,86.49612,2
66,12,50,23.065632,34.598448,155.693016,2
71,36,50,11.532816,31.715244,115.32816,2
72,102,50,23.065632,28.83204,170.109036,2
70,22,50,8.649612,80.729712,219.123504,1
72,53,50,20.182428,23.065632,118.211364,2
75,43,50,72.0801,8.649612,187.40826,1
77,58,50,14.41602,20.182428,66.313692,2
78,52,50,14.41602,20.182428,86.49612,2
79,92,50,28.83204,37.481652,239.305932,2
78,67,50,14.41602,23.065632,100.91214,2
81,51,50,25.948836,28.83204,190.291464,2
83,120,50,386.349336,400.765356,33326.955036,2
83,59,50,20.182428,17.299224,86.49612,2
85,70,50,17.299224,51.897672,187.40826,2
87,20,50,17.299224,20.182428,109.561752,2
88,90,50,17.299224,20.182428,95.145732,2
88,105,50,17.299224,17.299224,98.028936,2
89,103,50,17.299224,20.182428,103.795344,2
90,14,50,8.649612,49.014468,132.627384,1
90,7,50,17.299224,20.182428,98.028936,2
92,11,50,8.649612,83.612916,242.189136,1
92,107,50,17.299224,23.065632,86.49612,2
99,67,50,17.299224,23.065632,100.91214,2
102,96,50,14.41602,20.182428,80.729712,2
102,74,50,17.299224,20.182428,89.379324,2
101,49,50,17.299224,23.065632,118.211364,2
106,62,50,23.065632,17.299224,109.561752,2
106,28,50,20.182428,14.41602,69.196896,2
108,47,50,14.41602,23.065632,77.846508,2
107,102,50,20.182428,23.065632,103.795344,2
110,3,50,37.481652,40.364856,311.386032,3
112,14,50,8.649612,54.780876,138.393792,1
112,92,50,8.649612,147.043404,392.115744,1
112,88,50,14.41602,23.065632,83.612916,2
114,99,50,8.649612,80.729712,233.539524,1
114,79,50,17.299224,23.065632,92.262528,2
114,96,50,20.182428,20.182428,123.977772,2
114,11,50,8.649612,83.612916,233.539524,1
115,19,50,17.299224,20.182428,95.145732,2
115,55,50,14.41602,311.386032,1386.821124,2
115,55,50,14.41602,311.386032,1450.251612,2
116,55,50,17.299224,311.386032,1487.733264,2
116,55,50,14.41602,311.386032,1487.733264,2
119,75,50,17.299224,20.182428,86.49612,2
118,120,50,54.780876,11.532816,167.225832,1
121,88,50,14.41602,311.386032,1369.5219,2
121,88,50,14.41602,311.386032,1458.901224,2
122,88,50,17.299224,311.386032,1375.288308,2
122,88,50,14.41602,311.386032,1530.981324,2
122,88,50,17.299224,311.386032,1404.120348,2
121,87,50,20.182428,317.15244,1424.302776,2
121,87,50,17.299224,23.065632,100.91214,2
122,87,50,25.948836,317.15244,1516.565304,2
121,67,50,20.182428,17.299224,89.379324,2
134,113,50,8.649612,43.24806,121.094568,1
134,81,50,8.649612,149.926608,392.115744,1
134,14,50,8.649612,51.897672,129.74418,1
134,25,50,8.649612,49.014468,123.977772,1
136,11,50,8.649612,80.729712,219.123504,1
136,22,50,8.649612,80.729712,207.590688,1
139,36,50,8.649612,23.065632,57.66408,1
139,36,50,8.629236,20.134884,43.04454,1
139,36,50,8.629236,11.505648,25.826724,1
138,66,50,20.182428,20.182428,98.028936,2
138,59,50,5.766408,11.532816,23.065632,1
139,38,50,23.065632,317.15244,1479.083652,2
139,38,50,14.41602,311.386032,1458.901224,2
140,22,50,14.41602,317.15244,1435.835592,2
141,22,50,23.065632,317.15244,1525.214916,2
141,22,50,17.299224,317.15244,1513.6821,2
140,21,50,17.299224,20.182428,95.145732,2
142,32,50,17.299224,20.182428,74.963304,2
146,39,50,28.83204,51.897672,325.802052,2
146,39,50,17.299224,20.182428,98.028936,2
148,88,50,17.299224,20.182428,89.379324,2
148,54,50,31.715244,28.83204,242.189136,2
148,79,50,25.948836,31.715244,213.357096,2
152,39,50,17.299224,8.649612,37.481652,1
154,87,50,17.299224,23.065632,112.444956,2
153,74,50,17.299224,20.182428,89.379324,2
156,37,50,8.649612,149.926608,397.882152,1
156,54,50,17.299224,20.182428,89.379324,2
157,42,50,46.131264,37.481652,412.298172,2
161,53,50,14.41602,20.182428,83.612916,2
161,78,50,23.065632,23.065632,138.393792,2
163,98,50,51.897672,8.649612,152.809812,1
176,96,50,14.41602,20.182428,83.612916,2
178,37,50,8.649612,149.926608,418.06458,1
182,86,50,77.846508,8.649612,213.357096,1
182,86,50,80.729712,8.649612,236.422728,1
182,97,50,80.729712,8.649612,236.422728,1
182,97,50,80.729712,8.649612,239.305932,1
182,92,50,43.24806,8.649612,121.094568,1
182,92,50,265.254768,8.649612,697.735368,1
191,90,50,8.649612,20.182428,43.24806,1
191,90,50,23.011296,25.887708,80.349808,1
198,74,50,17.299224,20.182428,95.145732,2
199,80,50,63.430488,34.598448,467.079048,3
200,61,50,43.24806,23.065632,288.3204,3
205,52,50,17.299224,23.065632,109.561752,2
4,49,50,57.52824,8.629236,169.308524,63
71,71,50,17.258472,23.011296,103.306896,1
71,71,50,2.876412,8.629236,8.608908,1
81,67,50,5.752824,14.38206,28.69636,1
120,118,50,83.415948,43.14618,588.27538,3
120,118,50,8.629236,2.876412,8.608908,1
1,71,50,8.629236,28.76412,63.131992,1
5,49,50,11.505648,5.752824,22.957088,1
8,49,50,11.505648,14.38206,31.565996,1
11,62,50,5.752824,25.887708,31.565996,1
14,87,50,8.629236,2.876412,8.608908,1
21,98,50,40.269768,5.752824,68.871264,1
22,98,50,34.516944,5.752824,43.04454,1
23,98,50,115.05648,8.629236,134.872892,1
23,98,50,25.887708,2.876412,25.826724,1
27,94,50,23.011296,2.876412,22.957088,1
29,52,50,11.505648,5.752824,20.087452,1
29,98,50,60.404652,8.629236,126.263984,1
29,98,50,100.67442,5.752824,149.221072,1
29,98,50,8.629236,2.876412,8.608908,1
31,85,50,11.505648,5.752824,20.087452,1
28,49,50,5.752824,11.505648,14.34818,1
30,49,50,2.876412,8.629236,8.608908,1
31,96,50,8.629236,5.752824,11.478544,1
31,96,50,8.629236,5.752824,11.478544,1
31,96,50,25.887708,5.752824,37.305268,1
30,81,50,14.38206,2.876412,14.34818,1
33,98,50,25.887708,2.876412,25.826724,1
31,29,50,17.258472,2.876412,17.217816,1
35,98,50,8.629236,2.876412,8.608908,1
39,98,50,14.38206,2.876412,14.34818,1
38,77,50,20.134884,5.752824,22.957088,1
40,74,50,14.38206,2.876412,14.34818,1
42,19,50,5.752824,40.269768,66.001628,1
44,105,50,5.752824,11.505648,20.087452,1
46,97,50,25.887708,2.876412,25.826724,1
46,107,50,8.629236,8.629236,22.957088,1
49,98,50,8.629236,8.629236,20.087452,1
49,98,50,8.629236,2.876412,8.608908,1
49,98,50,8.629236,5.752824,11.478544,1
49,105,50,25.887708,2.876412,25.826724,1
48,83,50,2.876412,23.011296,22.957088,1
50,34,50,31.640532,8.629236,86.08908,1
