[Wafer Information]
Wafer Number,13
Wafer ID,Q336346-20G6
Job Name,X2L3QBJL_S_12_05
Model Name,EagleT
Lot Number,24200058.0049.0020.0070.0021100217
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,02/03/2024 08:24
End Time,02/03/2024 08:31
Inspection Time,0:06:43
Photo Time,0:17:20
Data Output Time,02/03/2024 11:57

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F99 Others,F06 Incoming others,F13 Pad area damage,F07 Incoming microlens periphery peeling
13,Q336346-20G6,19320,19026,98.478261,294,384,383,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,55,50,54.780876,28.83204,400.765356,3
5,56,50,106.678548,34.598448,738.100224,3
8,45,50,43.24806,25.948836,343.101276,3
9,53,50,77.846508,20.182428,449.779824,3
12,38,50,23.065632,8.649612,66.313692,1
10,62,50,14.41602,20.182428,80.729712,2
10,56,50,31.715244,23.065632,135.510588,1
10,56,50,37.393356,17.258472,169.308524,1
10,56,50,37.393356,28.76412,137.742528,1
14,37,50,11.532816,25.948836,66.313692,1
14,37,50,5.752824,31.640532,57.39272,1
16,82,50,92.262528,20.182428,573.757596,3
17,73,50,49.014468,20.182428,294.086808,3
16,63,50,72.0801,25.948836,452.663028,3
18,72,50,74.963304,23.065632,490.14468,3
23,83,50,17.299224,23.065632,109.561752,2
23,61,50,17.299224,23.065632,115.32816,2
24,81,50,57.66408,23.065632,374.81652,3
24,76,50,83.612916,20.182428,533.39274,3
24,53,50,8.649612,80.729712,233.539524,1
24,48,50,8.649612,152.809812,449.779824,1
24,51,50,43.24806,31.715244,351.750888,3
26,31,50,14.41602,20.182428,89.379324,2
27,74,50,20.182428,23.065632,100.91214,2
27,44,50,17.299224,311.386032,1481.966856,2
27,44,50,14.41602,311.386032,1522.331712,2
27,44,50,17.299224,311.386032,1444.485204,2
29,22,50,46.131264,28.83204,288.3204,3
29,35,50,14.41602,20.182428,72.0801,2
30,83,50,54.780876,23.065632,334.451664,3
33,77,50,17.299224,20.182428,98.028936,2
33,75,50,46.131264,23.065632,268.137972,3
35,103,50,20.182428,28.83204,138.393792,2
35,60,50,23.065632,25.948836,149.926608,2
40,55,50,43.24806,34.598448,334.451664,3
43,62,50,60.547284,40.364856,614.122452,3
42,71,50,14.41602,311.386032,1421.419572,2
42,111,50,23.065632,23.065632,144.1602,2
43,56,50,43.24806,23.065632,256.605156,3
43,48,50,23.065632,28.83204,172.99224,2
44,84,50,54.780876,20.182428,348.867684,3
46,31,50,8.649612,80.729712,236.422728,1
45,30,50,43.24806,25.948836,299.853216,3
48,70,50,57.66408,98.028936,573.757596,2
47,53,50,23.065632,31.715244,193.174668,2
51,58,50,14.41602,17.299224,69.196896,2
51,25,50,17.299224,25.948836,109.561752,2
50,31,50,28.83204,8.649612,83.612916,1
53,18,50,386.349336,409.414968,12086.391168,2
53,18,50,14.41602,311.386032,1528.09812,2
53,18,50,14.41602,311.386032,1542.51414,2
53,17,50,386.349336,403.64856,33946.843896,2
54,86,50,49.014468,20.182428,282.553992,3
53,73,50,14.41602,20.182428,83.612916,2
