[Wafer Information]
Wafer Number,5
Wafer ID,Q338384-24F1
Job Name,X2L3QBJL_S_12_05
Model Name,EagleT
Lot Number,24200058.0049.0020.0070.0021100217
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,02/03/2024 10:22
End Time,02/03/2024 10:28
Inspection Time,0:06:51
Photo Time,0:13:02
Data Output Time,02/04/2024 01:20

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F99 Others,F07 Incoming microlens periphery peeling,F16 Die scratch,F13 Pad area damage
5,Q338384-24F1,19631,19442,99.037237,189,231,223,8

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
2,58,50,8.649612,49.014468,121.094568,1
4,55,50,8.649612,80.729712,224.889912,1
4,66,50,8.649612,83.612916,242.189136,1
4,71,50,17.299224,20.182428,89.379324,2
8,51,50,37.481652,43.24806,325.802052,3
8,51,50,46.022592,51.775416,473.48994,3
12,51,50,63.430488,28.83204,435.363804,3
11,45,50,74.963304,25.948836,524.743128,3
12,44,50,51.897672,31.715244,371.933316,3
13,62,50,14.41602,20.182428,86.49612,2
14,87,50,54.780876,20.182428,343.101276,3
14,38,50,40.364856,31.715244,308.502828,3
17,48,50,14.41602,57.66408,167.225832,1
17,48,50,14.38206,54.651828,218.092336,1
16,48,50,14.41602,20.182428,77.846508,2
21,97,50,51.897672,31.715244,420.947784,3
21,67,50,14.41602,20.182428,69.196896,2
21,37,50,46.131264,25.948836,299.853216,3
21,64,50,17.299224,23.065632,89.379324,2
24,101,50,54.780876,28.83204,369.050112,3
24,47,50,8.649612,49.014468,121.094568,1
24,25,50,8.649612,46.131264,121.094568,1
26,27,50,17.299224,20.182428,92.262528,2
26,72,50,11.532816,8.649612,31.715244,1
26,72,50,11.505648,11.505648,40.174904,1
28,85,50,17.299224,20.182428,86.49612,2
29,26,50,51.897672,28.83204,345.98448,3
35,19,50,51.897672,28.83204,386.349336,3
46,109,50,20.182428,17.299224,86.49612,2
50,9,50,77.846508,8.649612,213.357096,1
49,28,50,20.182428,17.299224,80.729712,2
51,105,50,14.41602,20.182428,92.262528,2
53,24,50,20.182428,20.182428,95.145732,2
56,16,50,25.948836,17.299224,109.561752,2
59,97,50,17.299224,20.182428,109.561752,2
68,7,50,49.014468,31.715244,403.64856,3
69,23,50,17.299224,20.182428,98.028936,2
71,106,50,386.349336,409.414968,15430.907808,2
71,106,50,14.41602,311.386032,1487.733264,2
71,106,50,14.41602,311.386032,1533.864528,2
71,106,50,17.299224,311.386032,1306.091412,2
70,106,50,14.41602,311.386032,1407.003552,2
70,106,50,14.41602,311.386032,1412.76996,2
70,106,50,17.299224,311.386032,1340.68986,2
72,106,50,17.299224,311.386032,1551.163752,2
72,106,50,14.41602,311.386032,1545.397344,2
73,26,50,262.371564,11.532816,709.268184,1
73,26,50,14.41602,8.649612,40.364856,1
74,103,50,11.532816,5.766408,23.065632,1
90,92,50,8.649612,149.926608,409.414968,1
89,10,50,17.299224,20.182428,89.379324,2
90,3,50,8.649612,46.131264,115.32816,1
92,52,50,17.299224,20.182428,95.145732,2
97,48,50,17.299224,20.182428,106.678548,2
100,122,50,46.131264,20.182428,273.90438,3
101,95,50,14.41602,20.182428,80.729712,2
102,60,50,14.41602,20.182428,74.963304,2
112,3,50,8.649612,49.014468,123.977772,1
112,15,50,8.649612,149.926608,409.414968,1
112,25,50,8.649612,49.014468,129.74418,1
111,106,50,17.299224,20.182428,95.145732,2
113,124,50,51.897672,40.364856,487.261476,3
116,59,50,245.07234,8.649612,668.903328,1
118,53,50,17.299224,23.065632,100.91214,2
123,59,50,14.41602,20.182428,83.612916,2
125,78,50,17.299224,20.182428,92.262528,2
126,101,50,17.299224,20.182428,95.145732,2
131,121,50,34.598448,37.481652,320.035644,3
136,112,50,14.41602,20.182428,72.0801,2
139,92,50,57.66408,8.649612,158.57622,1
139,92,50,57.66408,8.649612,155.693016,1
139,103,50,57.66408,8.649612,164.342628,1
146,97,50,14.41602,20.182428,77.846508,2
151,117,50,46.131264,20.182428,296.970012,3
152,75,50,20.182428,17.299224,83.612916,2
157,114,50,54.780876,23.065632,325.802052,3
164,112,50,43.24806,20.182428,288.3204,3
167,99,50,17.299224,20.182428,89.379324,2
170,21,50,66.313692,25.948836,418.06458,3
172,84,50,17.299224,20.182428,83.612916,2
172,77,50,54.780876,23.065632,363.283704,3
175,78,50,57.66408,23.065632,343.101276,3
182,61,50,60.547284,8.649612,172.99224,1
181,98,50,46.131264,25.948836,294.086808,3
182,97,50,80.729712,11.532816,253.721952,1
182,97,50,80.729712,11.532816,285.437196,1
183,33,50,51.897672,20.182428,296.970012,3
182,75,50,80.729712,8.649612,227.773116,1
186,80,50,57.66408,23.065632,340.218072,3
188,36,50,54.780876,28.83204,366.166908,3
193,52,50,51.897672,25.948836,311.386032,3
192,46,50,43.24806,25.948836,262.371564,3
193,76,50,43.24806,20.182428,242.189136,3
200,66,50,14.41602,20.182428,72.0801,2
6,82,50,23.011296,83.415948,315.65996,3
8,47,50,43.14618,71.9103,407.488312,3
24,63,50,77.663124,69.033888,1342.989648,3
25,97,50,25.887708,51.775416,304.181416,3
29,21,50,37.393356,54.651828,361.574136,3
31,61,50,123.685716,115.05648,648.537736,3
31,61,50,143.8206,132.314952,958.458424,3
31,61,50,48.899004,63.281064,404.618676,3
31,61,50,71.9103,77.663124,439.054308,3
30,61,50,40.269768,57.52824,278.354692,3
30,60,50,40.269768,43.14618,160.699616,3
30,60,50,97.798008,89.168772,614.102104,3
30,60,50,51.775416,54.651828,269.745784,3
30,60,50,77.663124,94.921596,401.74904,3
30,60,50,54.651828,54.651828,189.395976,3
30,60,50,57.52824,57.52824,344.35632,3
30,60,50,129.43854,23.011296,714.539364,3
30,60,50,37.393356,40.269768,146.351436,3
31,62,50,97.798008,89.168772,525.143388,3
31,62,50,40.269768,37.393356,134.872892,3
35,58,50,109.303656,138.067776,1067.504592,3
35,58,50,54.651828,71.9103,307.051052,3
35,58,50,40.269768,54.651828,166.438888,3
35,58,50,37.393356,51.775416,195.135248,3
35,58,50,34.516944,43.14618,172.17816,3
35,58,50,57.52824,63.281064,203.744156,3
35,58,50,46.022592,57.52824,229.57088,3
35,58,50,34.516944,43.14618,129.13362,3
33,60,50,54.651828,60.404652,413.227584,3
33,60,50,48.899004,54.651828,218.092336,3
33,60,50,40.269768,48.899004,252.527968,3
34,60,50,37.393356,46.022592,146.351436,3
34,60,50,37.393356,43.14618,129.13362,3
34,60,50,51.775416,71.9103,275.485056,3
34,60,50,37.393356,43.14618,129.13362,3
50,22,50,20.134884,54.651828,315.65996,3
57,111,50,80.539536,25.887708,352.965228,3
77,2,50,31.640532,51.775416,332.877776,3
114,114,50,43.14618,57.52824,344.35632,3
132,111,50,31.640532,46.022592,295.572508,3
135,61,50,109.303656,46.022592,628.450284,3
172,103,50,17.258472,63.281064,301.31178,3
198,52,50,11.505648,23.011296,88.958716,1
198,52,50,11.505648,8.629236,31.565996,1
198,52,50,8.629236,8.629236,25.826724,1
5,68,50,5.752824,17.258472,31.565996,1
10,70,50,8.629236,8.629236,20.087452,1
10,83,50,8.629236,8.629236,14.34818,1
12,43,50,11.505648,5.752824,17.217816,1
13,33,50,5.752824,11.505648,14.34818,1
16,52,50,8.629236,31.640532,63.131992,1
18,94,50,8.629236,14.38206,28.69636,1
16,43,50,5.752824,23.011296,37.305268,1
23,80,50,5.752824,14.38206,20.087452,1
27,88,50,17.258472,20.134884,74.610536,1
25,63,50,5.752824,8.629236,17.217816,1
28,26,50,8.629236,11.505648,31.565996,1
29,74,50,17.258472,5.752824,22.957088,1
28,59,50,8.629236,5.752824,14.34818,1
31,29,50,11.505648,2.876412,11.478544,1
32,95,50,5.752824,8.629236,11.478544,1
33,97,50,8.629236,11.505648,28.69636,1
36,16,50,8.629236,5.752824,11.478544,1
45,69,50,2.876412,8.629236,8.608908,1
50,49,50,8.629236,11.505648,25.826724,1
51,85,50,11.505648,8.629236,25.826724,1
53,106,50,17.258472,2.876412,17.217816,1
52,50,50,8.629236,8.629236,20.087452,1
53,84,50,20.134884,2.876412,20.087452,1
72,37,50,5.752824,8.629236,17.217816,1
74,104,50,8.629236,11.505648,22.957088,1
74,71,50,5.752824,8.629236,17.217816,1
75,34,50,11.505648,17.258472,51.653448,1
83,32,50,2.876412,14.38206,14.34818,1
86,94,50,5.752824,14.38206,17.217816,1
86,94,50,5.752824,8.629236,14.34818,1
86,106,50,2.876412,8.629236,8.608908,1
87,11,50,2.876412,8.629236,8.608908,1
87,87,50,2.876412,63.281064,63.131992,1
87,80,50,2.876412,8.629236,8.608908,1
87,116,50,2.876412,17.258472,17.217816,1
86,24,50,2.876412,14.38206,14.34818,1
94,92,50,8.629236,8.629236,22.957088,1
93,107,50,8.629236,2.876412,8.608908,1
94,70,50,8.629236,11.505648,25.826724,1
96,71,50,8.629236,5.752824,11.478544,1
96,27,50,5.752824,8.629236,17.217816,1
96,16,50,5.752824,8.629236,14.34818,1
97,7,50,11.505648,2.876412,11.478544,1
97,62,50,8.629236,2.876412,8.608908,1
110,2,50,17.258472,5.752824,28.69636,1
111,0,50,17.258472,14.38206,34.435632,1
112,0,50,8.629236,2.876412,8.608908,1
115,107,50,8.629236,5.752824,14.34818,1
118,93,50,5.752824,8.629236,17.217816,1
117,81,50,8.629236,8.629236,22.957088,1
118,104,50,5.752824,8.629236,14.34818,1
116,48,50,11.505648,11.505648,37.305268,1
118,38,50,8.629236,11.505648,20.087452,1
120,6,50,5.752824,8.629236,14.34818,1
135,112,50,46.022592,11.505648,66.001628,1
135,112,50,11.505648,11.505648,25.826724,1
136,62,50,23.011296,2.876412,22.957088,1
136,76,50,14.38206,2.876412,14.34818,1
138,14,50,8.629236,14.38206,31.565996,1
138,62,50,8.629236,5.752824,11.478544,1
137,120,50,8.629236,2.876412,8.608908,1
140,49,50,5.752824,11.505648,17.217816,1
138,92,50,8.629236,2.876412,8.608908,1
139,81,50,8.629236,2.876412,8.608908,1
142,32,50,11.505648,8.629236,25.826724,1
141,106,50,14.38206,2.876412,14.34818,1
153,98,50,28.76412,74.786712,484.968484,1
155,25,50,2.876412,11.505648,11.478544,1
155,25,50,2.876412,17.258472,17.217816,1
160,16,50,11.505648,2.876412,11.478544,1
159,14,50,25.887708,5.752824,51.653448,1
159,14,50,11.505648,5.752824,17.217816,1
162,60,50,8.629236,8.629236,20.087452,1
161,59,50,5.752824,8.629236,14.34818,1
161,55,50,8.629236,2.876412,8.608908,1
162,82,50,5.752824,11.505648,17.217816,1
163,73,50,23.011296,2.876412,22.957088,1
165,71,50,11.505648,20.134884,25.826724,1
177,102,50,2.876412,8.629236,8.608908,1
177,22,50,8.629236,8.629236,17.217816,1
177,21,50,5.752824,60.404652,68.871264,1
184,38,50,8.629236,8.629236,17.217816,1
182,37,50,11.505648,8.629236,28.69636,1
184,60,50,5.752824,8.629236,14.34818,1
186,29,50,2.876412,8.629236,8.608908,1
185,51,50,17.258472,2.876412,17.217816,1
185,51,50,20.134884,5.752824,40.174904,1
186,94,50,23.011296,8.629236,31.565996,1
201,58,50,17.258472,11.505648,34.435632,1
203,50,50,8.629236,14.38206,31.565996,1
