[Wafer Information]
Wafer Number,9
Wafer ID,Q338934-03A2
Job Name,X2L3QBJL_S_12_05
Model Name,EagleT
Lot Number,24200058.0049.0020.0070.0021100217
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,02/03/2024 09:52
End Time,02/03/2024 09:58
Inspection Time,0:06:44
Photo Time,0:10:57
Data Output Time,02/04/2024 01:35

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F99 Others,F06 Incoming others,F13 Pad area damage
9,Q338934-03A2,19181,18958,98.837391,223,387,358,29

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
4,66,50,8.649612,83.612916,236.422728,1
7,69,50,74.963304,25.948836,461.31264,3
10,55,50,51.897672,20.182428,299.853216,3
16,44,50,46.131264,28.83204,299.853216,3
15,86,50,43.24806,20.182428,245.07234,3
24,58,50,8.649612,43.24806,121.094568,1
24,47,50,8.649612,51.897672,129.74418,1
24,36,50,8.649612,46.131264,126.860976,1
28,86,50,77.846508,8.649612,213.357096,1
28,92,50,49.014468,23.065632,322.918848,3
28,60,50,20.182428,317.15244,1507.915692,2
28,60,50,17.299224,311.386032,1487.733264,2
28,60,50,23.065632,317.15244,1577.112588,2
29,60,50,23.065632,317.15244,1574.229384,2
29,60,50,17.299224,311.386032,1562.696568,2
29,60,50,17.299224,317.15244,1686.67434,2
29,37,50,161.459424,11.532816,458.429436,1
29,37,50,17.299224,11.532816,46.131264,1
38,74,50,43.24806,20.182428,253.721952,3
41,107,50,51.897672,23.065632,354.634092,3
40,26,50,43.24806,28.83204,311.386032,3
47,90,50,54.780876,20.182428,325.802052,3
48,11,50,8.649612,80.729712,239.305932,1
48,44,50,8.649612,80.729712,230.65632,1
53,76,50,28.83204,8.649612,83.612916,1
53,57,50,43.24806,31.715244,331.56846,3
52,21,50,46.131264,11.532816,170.109036,1
56,92,50,17.299224,20.182428,98.028936,2
55,88,50,63.430488,20.182428,392.115744,3
57,11,50,54.780876,34.598448,441.130212,3
57,100,50,51.897672,23.065632,320.035644,3
62,23,50,17.299224,311.386032,1435.835592,2
62,23,50,17.299224,311.386032,1481.966856,2
68,91,50,8.649612,49.014468,118.211364,1
68,69,50,8.649612,46.131264,121.094568,1
68,36,50,8.649612,46.131264,123.977772,1
68,47,50,8.649612,46.131264,115.32816,1
70,25,50,20.182428,317.15244,1493.499672,2
74,39,50,49.014468,25.948836,354.634092,3
75,32,50,14.41602,20.182428,72.0801,2
80,9,50,14.41602,23.065632,89.379324,2
80,9,50,14.41602,17.299224,77.846508,2
82,120,50,14.41602,311.386032,1372.405104,2
82,120,50,14.41602,311.386032,1487.733264,2
82,5,50,43.24806,25.948836,337.334868,3
82,24,50,17.299224,20.182428,95.145732,2
85,9,50,386.349336,409.414968,13291.57044,2
85,9,50,17.299224,311.386032,1542.51414,2
85,9,50,14.41602,311.386032,1551.163752,2
85,9,50,17.299224,311.386032,1608.827832,2
84,9,50,17.299224,314.269236,1516.565304,2
84,9,50,17.299224,311.386032,1481.966856,2
84,9,50,17.299224,320.035644,1435.835592,2
84,8,50,386.349336,403.64856,35146.25676,2
84,8,50,14.41602,198.941076,899.559648,2
84,8,50,14.41602,198.941076,939.924504,2
85,8,50,386.349336,403.64856,34961.731704,2
85,8,50,37.481652,17.299224,155.693016,2
86,87,50,14.41602,17.299224,74.963304,2
87,52,50,14.41602,20.182428,77.846508,2
90,3,50,8.649612,49.014468,129.74418,1
89,34,50,14.41602,17.299224,74.963304,2
88,101,50,17.299224,20.182428,92.262528,2
90,103,50,8.649612,149.926608,383.466132,1
92,99,50,8.649612,83.612916,242.189136,1
92,77,50,8.649612,83.612916,219.123504,1
90,80,50,8.649612,46.131264,123.977772,1
92,66,50,8.649612,63.430488,178.758648,1
90,25,50,8.649612,49.014468,126.860976,1
93,88,50,23.065632,28.83204,198.941076,2
94,111,50,49.014468,43.24806,412.298172,3
95,92,50,43.24806,11.532816,138.393792,1
98,113,50,17.299224,20.182428,74.963304,2
98,9,50,386.349336,400.765356,33352.903872,2
98,9,50,386.349336,409.414968,13199.307912,2
98,9,50,23.065632,322.918848,1721.272788,2
98,9,50,28.83204,317.15244,1600.17822,2
98,9,50,25.948836,317.15244,1611.711036,2
97,9,50,25.948836,317.15244,1484.85006,2
97,9,50,23.065632,317.15244,1626.127056,2
99,9,50,25.948836,317.15244,1672.25832,2
99,9,50,25.948836,317.15244,1614.59424,2
99,9,50,23.065632,317.15244,1781.820072,2
109,82,50,31.715244,17.299224,144.1602,2
109,108,50,49.014468,23.065632,308.502828,3
112,25,50,8.649612,51.897672,132.627384,1
112,55,50,57.66408,23.065632,357.517296,3
112,58,50,8.649612,49.014468,123.977772,1
114,33,50,8.649612,83.612916,222.006708,1
114,88,50,8.649612,80.729712,213.357096,1
113,68,50,8.649612,46.131264,109.561752,1
113,68,50,28.76412,66.157476,416.09722,1
114,99,50,8.649612,80.729712,224.889912,1
114,27,50,8.649612,63.430488,158.57622,1
114,27,50,28.76412,97.798008,562.448656,1
114,11,50,8.649612,80.729712,213.357096,1
