[Wafer Information]
Wafer Number,9
Wafer ID,Q337336-03E0
Job Name,X2L3QBJL_S_12_05
Model Name,EagleT
Lot Number,24200067-003
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,02/03/2024 02:22
End Time,02/03/2024 02:29
Inspection Time,0:06:49
Photo Time,0:12:02
Data Output Time,02/03/2024 03:51

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F13 Pad area damage,F06 Incoming others,F33 Black Foreign material,F99 Others,F82 Top side chipping no damage sensor area,F07 Incoming microlens periphery peeling
9,Q337336-03E0,19694,19480,98.913375,214,270,267,3

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
2,69,50,8.649612,46.131264,126.860976,1
4,77,50,11.532816,80.729712,299.853216,1
4,55,50,11.532816,80.729712,299.853216,1
5,80,50,51.897672,60.547284,885.143628,3
5,80,50,51.775416,66.157476,969.936968,3
5,80,50,23.011296,63.281064,284.093964,3
5,79,50,25.948836,49.014468,308.502828,3
5,79,50,31.640532,51.775416,396.009768,3
13,33,50,17.299224,17.299224,77.846508,2
14,72,50,20.182428,23.065632,115.32816,2
18,97,50,31.715244,57.66408,394.998948,3
18,97,50,37.393356,66.157476,565.318292,3
18,45,50,17.299224,23.065632,86.49612,2
24,91,50,8.649612,46.131264,123.977772,1
24,80,50,8.649612,46.131264,123.977772,1
24,47,50,8.649612,49.014468,123.977772,1
24,36,50,8.649612,46.131264,126.860976,1
24,25,50,11.532816,46.131264,170.109036,1
26,33,50,8.649612,80.729712,227.773116,1
26,22,50,11.532816,80.729712,296.970012,1
26,99,50,8.649612,80.729712,227.773116,1
28,101,50,54.780876,20.182428,322.918848,3
27,57,50,14.41602,17.299224,80.729712,2
28,86,50,77.846508,8.649612,210.473892,1
30,61,50,20.182428,322.918848,1479.083652,2
31,61,50,25.948836,322.918848,1623.243852,2
31,61,50,17.299224,322.918848,1525.214916,2
31,61,50,23.065632,325.802052,1631.893464,2
30,39,50,40.364856,25.948836,268.137972,3
29,37,50,144.1602,11.532816,432.4806,1
34,51,50,46.131264,23.065632,282.553992,3
35,34,50,25.948836,28.83204,230.65632,2
39,110,50,51.897672,25.948836,305.619624,3
46,25,50,8.649612,49.014468,121.094568,1
48,110,50,8.649612,80.729712,224.889912,1
48,11,50,11.532816,80.729712,279.670788,1
