[Wafer Information]
Wafer Number,13
Wafer ID,Q338384-21H0
Job Name,X2L3QBJL_S_12_05
Model Name,EagleT
Lot Number,24200067-003
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,02/03/2024 01:05
End Time,02/03/2024 01:12
Inspection Time,0:06:45
Photo Time,0:10:26
Data Output Time,02/03/2024 03:55

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F13 Pad area damage,F29 Silicon powder,F33 Black Foreign material,F99 Others,F07 Incoming microlens periphery peeling,F82 Top side chipping no damage sensor area,F28 Pixel defect
13,Q338384-21H0,19226,19017,98.91293,209,254,252,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
4,60,50,17.299224,20.182428,103.795344,2
6,68,50,49.014468,25.948836,210.473892,2
6,58,50,14.41602,20.182428,86.49612,2
6,58,50,17.299224,20.182428,83.612916,2
14,87,50,20.182428,20.182428,115.32816,2
13,34,50,14.41602,20.182428,77.846508,2
17,95,50,49.014468,20.182428,268.137972,3
19,49,50,23.065632,20.182428,109.561752,2
21,64,50,14.41602,28.83204,109.561752,2
24,58,50,8.649612,49.014468,123.977772,1
22,25,50,14.41602,17.299224,80.729712,2
23,25,50,14.41602,17.299224,83.612916,2
22,73,50,17.299224,20.182428,92.262528,2
23,89,50,14.41602,20.182428,74.963304,2
25,73,50,14.41602,311.386032,1409.886756,2
26,64,50,31.715244,25.948836,181.641852,2
28,86,50,77.846508,8.649612,204.707484,1
29,30,50,11.532816,20.182428,63.430488,2
31,80,50,14.41602,20.182428,77.846508,2
31,106,50,63.430488,25.948836,392.115744,3
35,40,50,20.182428,23.065632,126.860976,2
35,31,50,25.948836,25.948836,161.459424,2
34,76,50,14.41602,20.182428,69.196896,2
35,83,50,17.299224,20.182428,100.91214,2
36,61,50,17.299224,20.182428,83.612916,2
38,98,50,20.182428,23.065632,106.678548,2
38,98,50,17.258472,11.505648,43.04454,1
48,10,50,11.532816,8.649612,28.83204,1
48,10,50,11.505648,5.752824,17.217816,1
47,24,50,17.299224,17.299224,89.379324,2
47,51,50,17.299224,23.065632,123.977772,2
50,35,50,25.948836,28.83204,198.941076,2
51,103,50,265.254768,8.649612,738.100224,1
52,14,50,17.299224,20.182428,89.379324,2
53,73,50,14.41602,23.065632,74.963304,2
56,116,50,40.364856,20.182428,242.189136,3
58,32,50,14.41602,20.182428,80.729712,2
61,24,50,25.948836,43.24806,184.525056,2
63,26,50,20.182428,28.83204,144.1602,2
63,16,50,14.41602,20.182428,86.49612,2
63,8,50,14.41602,20.182428,77.846508,2
68,69,50,8.649612,46.131264,115.32816,1
67,93,50,17.299224,25.948836,109.561752,2
67,76,50,23.065632,14.41602,80.729712,2
68,36,50,8.649612,49.014468,132.627384,1
68,14,50,8.649612,49.014468,118.211364,1
70,34,50,14.41602,311.386032,1510.798896,2
70,34,50,14.41602,311.386032,1493.499672,2
70,50,50,17.299224,311.386032,1415.653164,2
70,50,50,14.41602,311.386032,1447.368408,2
69,49,50,20.182428,25.948836,121.094568,2
69,91,50,14.41602,20.182428,77.846508,2
71,47,50,14.41602,20.182428,74.963304,2
74,70,50,11.532816,5.766408,23.065632,1
76,56,50,17.299224,20.182428,74.963304,2
78,33,50,20.182428,17.299224,77.846508,2
79,4,50,20.182428,20.182428,115.32816,2
80,117,50,54.780876,25.948836,337.334868,3
83,121,50,43.24806,28.83204,311.386032,3
82,21,50,23.065632,34.598448,144.1602,2
83,32,50,14.41602,23.065632,86.49612,2
83,26,50,14.41602,311.386032,1352.222676,2
83,26,50,14.41602,311.386032,1458.901224,2
85,80,50,17.299224,20.182428,92.262528,2
90,84,50,28.83204,37.481652,222.006708,2
91,21,50,20.182428,317.15244,1513.6821,2
91,21,50,14.41602,311.386032,1490.616468,2
92,11,50,8.649612,80.729712,219.123504,1
93,99,50,51.897672,121.094568,1254.19374,2
97,10,50,28.83204,8.649612,80.729712,1
95,103,50,14.41602,8.649612,40.364856,1
95,92,50,57.66408,8.649612,149.926608,1
103,83,50,20.182428,23.065632,112.444956,2
107,118,50,17.299224,20.182428,86.49612,2
106,7,50,17.299224,17.299224,66.313692,2
108,67,50,17.299224,20.182428,98.028936,2
111,95,50,11.532816,5.766408,23.065632,1
117,48,50,80.729712,8.649612,216.2403,1
115,65,50,23.065632,40.364856,201.82428,2
116,75,50,386.349336,400.765356,14782.186908,2
116,75,50,14.41602,311.386032,1231.128108,2
116,75,50,14.41602,311.386032,1412.76996,2
115,74,50,386.349336,403.64856,37031.872176,2
115,74,50,386.349336,403.64856,11720.22426,2
115,74,50,14.41602,311.386032,1372.405104,2
116,74,50,386.349336,403.64856,42138.02646,2
116,74,50,386.349336,409.414968,14692.807584,2
116,74,50,14.41602,311.386032,1332.040248,2
