[Wafer Information]
Wafer Number,11
Wafer ID,Q338934-18G7
Job Name,X2L3QBJL_S_12_05
Model Name,EagleT
Lot Number,24200200.232
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,02/04/2024 08:36
End Time,02/04/2024 08:43
Inspection Time,0:06:45
Photo Time,0:15:31
Data Output Time,02/04/2024 10:23

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F99 Others,F07 Incoming microlens periphery peeling,F13 Pad area damage
11,Q338934-18G7,19499,19245,98.697369,254,340,338,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
2,58,50,8.649612,49.014468,126.860976,1
2,65,50,54.780876,23.065632,325.802052,3
4,55,50,8.649612,80.729712,216.2403,1
7,48,50,57.66408,11.532816,164.342628,1
21,36,50,40.364856,23.065632,242.189136,3
24,25,50,8.649612,49.014468,126.860976,1
24,78,50,14.41602,25.948836,89.379324,2
25,59,50,17.299224,23.065632,92.262528,2
28,42,50,80.729712,8.649612,227.773116,1
28,42,50,80.729712,8.649612,224.889912,1
30,21,50,17.299224,314.269236,1476.200448,2
29,85,50,14.41602,20.182428,74.963304,2
32,48,50,40.364856,28.83204,288.3204,3
38,80,50,20.182428,317.15244,1496.382876,2
38,80,50,14.41602,311.386032,1453.134816,2
41,23,50,20.182428,20.182428,103.795344,2
46,80,50,8.649612,46.131264,121.094568,1
46,25,50,8.649612,49.014468,123.977772,1
47,54,50,20.182428,23.065632,123.977772,2
49,27,50,20.182428,23.065632,112.444956,2
48,22,50,8.649612,83.612916,233.539524,1
56,68,50,14.41602,17.299224,74.963304,2
64,117,50,43.24806,20.182428,253.721952,3
66,20,50,17.299224,20.182428,95.145732,2
66,77,50,17.299224,8.649612,40.364856,1
66,77,50,23.011296,28.76412,180.787068,1
67,72,50,14.41602,311.386032,1404.120348,2
67,72,50,14.41602,311.386032,1484.85006,2
66,71,50,17.299224,311.386032,1404.120348,2
66,71,50,14.41602,311.386032,1473.317244,2
67,71,50,23.065632,317.15244,1444.485204,2
67,71,50,14.41602,311.386032,1450.251612,2
68,81,50,8.649612,147.043404,389.23254,1
68,36,50,8.649612,46.131264,126.860976,1
68,14,50,8.649612,49.014468,126.860976,1
73,113,50,14.41602,311.386032,1381.054716,2
73,113,50,14.41602,311.386032,1473.317244,2
73,113,50,17.299224,311.386032,1329.157044,2
72,75,50,20.182428,8.649612,43.24806,1
72,75,50,23.011296,17.258472,129.13362,1
72,75,50,25.887708,28.76412,209.483428,1
75,109,50,14.41602,317.15244,1464.667632,2
75,109,50,14.41602,311.386032,1479.083652,2
74,109,50,14.41602,311.386032,1392.587532,2
74,109,50,14.41602,311.386032,1450.251612,2
77,23,50,14.41602,17.299224,80.729712,2
82,97,50,386.349336,409.414968,14441.968836,2
82,97,50,14.41602,317.15244,1525.214916,2
82,97,50,14.41602,311.386032,1528.09812,2
82,97,50,17.299224,311.386032,1456.01802,2
81,97,50,386.349336,389.23254,11535.699204,2
81,97,50,14.41602,311.386032,1490.616468,2
81,97,50,14.41602,311.386032,1519.448508,2
81,97,50,17.299224,311.386032,1283.02578,2
82,96,50,386.349336,397.882152,34486.003044,2
84,121,50,386.349336,409.414968,14557.296996,2
84,121,50,17.299224,311.386032,1349.339472,2
84,121,50,14.41602,311.386032,1470.43404,2
84,121,50,17.299224,311.386032,1366.638696,2
83,121,50,14.41602,311.386032,1415.653164,2
