[Wafer Information]
Wafer Number,13
Wafer ID,Q338963-03A4
Job Name,X2L3QBJL_S_12_05
Model Name,EagleT
Lot Number,24200250.244-3.8
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,02/04/2024 10:33
End Time,02/04/2024 10:40
Inspection Time,0:06:37
Photo Time,0:14:12
Data Output Time,02/04/2024 12:29

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F13 Pad area damage,F07 Incoming microlens periphery peeling,F29 Silicon powder,F99 Others
13,Q338963-03A4,18759,18555,98.912522,204,315,312,3

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
15,92,50,17.299224,20.182428,95.145732,2
21,93,50,14.41602,311.386032,1424.302776,2
21,93,50,14.41602,311.386032,1461.784428,2
22,60,50,17.299224,322.918848,1533.864528,2
22,60,50,14.41602,311.386032,1415.653164,2
23,60,50,28.83204,317.15244,1574.229384,2
23,60,50,14.41602,311.386032,1528.09812,2
23,60,50,17.299224,311.386032,1614.59424,2
25,81,50,17.299224,23.065632,98.028936,2
24,59,50,8.649612,149.926608,412.298172,1
24,48,50,8.649612,149.926608,444.013416,1
24,58,50,8.649612,46.131264,118.211364,1
24,36,50,8.649612,49.014468,121.094568,1
24,37,50,8.649612,147.043404,418.06458,1
26,55,50,8.649612,80.729712,216.2403,1
30,84,50,11.532816,20.182428,69.196896,2
43,23,50,43.24806,25.948836,282.553992,3
43,23,50,48.899004,34.516944,430.4454,3
46,15,50,8.649612,149.926608,426.714192,1
46,48,50,8.649612,149.926608,420.947784,1
46,37,50,8.649612,149.926608,438.247008,1
46,26,50,8.649612,149.926608,435.363804,1
46,58,50,8.649612,51.897672,132.627384,1
47,103,50,28.83204,23.065632,181.641852,1
47,103,50,37.393356,14.38206,186.52634,1
47,103,50,34.516944,14.38206,160.699616,1
47,103,50,34.516944,28.76412,252.527968,1
