[Wafer Information]
Wafer Number,25
Wafer ID,A01-Q328395-401
Job Name,X2L3QBJL_R_08_QB1
Model Name,EagleT
Lot Number,MOLT24100098-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/19/2024 03:06
End Time,01/19/2024 03:07
Inspection Time,0:00:25
Photo Time,0:01:20
Data Output Time,01/19/2024 04:33

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder
25,A01-Q328395-401,340,339,99.705882,1,19,7,8,4

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
0,32,50,1029.303828,2015.359596,537362.911908,3
0,32,50,1208.062476,2061.49086,133743.183948,1
0,32,50,409.414968,92.262528,12599.60148,3
0,32,50,403.64856,429.597396,59151.813264,2
0,32,50,755.399448,46.131264,9996.068268,1
0,32,50,11.532816,14.41602,49.014468,1
0,32,50,2029.775616,397.882152,120281.504472,1
0,32,50,766.932264,340.218072,77287.166424,3
0,32,50,377.699724,322.918848,28448.573868,3
0,32,50,2041.308432,1715.50638,151451.822916,1
0,32,50,1035.070236,3370.465476,946679.850972,3
0,32,50,498.794292,1231.128108,102578.631912,3
0,32,50,444.013416,20.182428,2191.23504,2
0,32,50,599.706432,400.765356,75782.133936,2
0,32,50,17.299224,69.196896,354.634092,1
0,32,50,17.299224,582.407208,3134.042748,1
0,32,50,397.882152,423.830988,57318.09552,2
0,32,50,227.773116,2122.038144,88125.13026,1
0,32,50,412.298172,438.247008,60838.487604,3

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder
25,A01-Q328395-401,340,340,100,0,0,0

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
0,32,Pass,1029.303828,2015.359596,537362.911908,3
0,32,Pass,1208.062476,2061.49086,133743.183948,1
0,32,Pass,409.414968,92.262528,12599.60148,3
0,32,Pass,403.64856,429.597396,59151.813264,2
0,32,Pass,755.399448,46.131264,9996.068268,1
0,32,Pass,11.532816,14.41602,49.014468,1
0,32,Pass,2029.775616,397.882152,120281.504472,1
0,32,Pass,766.932264,340.218072,77287.166424,3
0,32,Pass,377.699724,322.918848,28448.573868,3
0,32,Pass,2041.308432,1715.50638,151451.822916,1
0,32,Pass,1035.070236,3370.465476,946679.850972,3
0,32,Pass,498.794292,1231.128108,102578.631912,3
0,32,Pass,444.013416,20.182428,2191.23504,2
0,32,Pass,599.706432,400.765356,75782.133936,2
0,32,Pass,17.299224,69.196896,354.634092,1
0,32,Pass,17.299224,582.407208,3134.042748,1
0,32,Pass,397.882152,423.830988,57318.09552,2
0,32,Pass,227.773116,2122.038144,88125.13026,1
0,32,Pass,412.298172,438.247008,60838.487604,3

